input,answer
"'쇽'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅅ, ㅛ, ㄱ"
"'체'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅊ, ㅔ"
"'썁'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅆ, ㅑ, ㅂ"
"'뎬'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄷ, ㅖ, ㄴ"
"'돠'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄷ, ㅘ"
"'멫'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅁ, ㅔ, ㅊ"
"'쯸'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅉ, ㅢ, ㄹ"
"'볨'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅂ, ㅖ, ㅁ"
"'떤'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄸ, ㅓ, ㄴ"
"'놔'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄴ, ㅘ"
"'즌'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅈ, ㅡ, ㄴ"
"'퐌'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅍ, ㅘ, ㄴ"
"'쥔'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅈ, ㅟ, ㄴ"
"'퓽'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅍ, ㅠ, ㅇ"
"'욍'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅇ, ㅚ, ㅇ"
"'긻'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄱ, ㅣ, ㄼ"
"'솓'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅅ, ㅗ, ㄷ"
"'뉟'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄴ, ㅟ, ㄷ"
"'륐'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄹ, ㅟ, ㅆ"
"'릋'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㄹ, ㅡ, ㅊ"
"'뭭'의 초성, 중성, 종성(있는 경우)은 무엇인가요? 쉼표로 구분하세요.","ㅁ, ㅞ, ㄱ"
