input,answer
How many English words are in this sentence? The sentence is: 'problem brought about by development',5
How many English words are in this sentence? The sentence is: 'Finals Sam Cassell's injury greatly',5
How many English words are in this sentence? The sentence is: 'low Currently the price of',5
How many English words are in this sentence? The sentence is: 'a set of integrated bathrooms',5
How many English words are in this sentence? The sentence is: 'become increasingly diverse Kobe do you',6
How many English words are in this sentence? The sentence is: 'billion yuan an increase of compared',6
How many English words are in this sentence? The sentence is: 'that Building of the East Asia',6
How many English words are in this sentence? The sentence is: 'with the exhibition economy is now',6
How many English words are in this sentence? The sentence is: 'that is whether the transaction volume can',7
How many English words are in this sentence? The sentence is: 'economic foundation for a significant increase in',7
How many English words are in this sentence? The sentence is: 'conversion technology and dual noise reduction technology',7
How many English words are in this sentence? The sentence is: 'Guangming Port is the terminus of the',7
How many English words are in this sentence? The sentence is: 'last class where unexpected experiences and the most',8
How many English words are in this sentence? The sentence is: 'game payment solutions provided by Yibao Pay include',8
How many English words are in this sentence? The sentence is: 'is only a choice for photography enthusiasts Reference',8
How many English words are in this sentence? The sentence is: 'to restore a true Mao Yushi On an',8
How many English words are in this sentence? The sentence is: 'others It is actually a variation of subject clauses',9
How many English words are in this sentence? The sentence is: 'value growth was only the remaining were all between',9
How many English words are in this sentence? The sentence is: 'reached Before being directly under the central government Chongqing',9
How many English words are in this sentence? The sentence is: 'few sentences together Example The international tourism industry has',9
How many English words are in this sentence? The sentence is: 'flow the sound of impact on the pipe wall is',10
How many English words are in this sentence? The sentence is: 'be the most risky position in the league When the',10
How many English words are in this sentence? The sentence is: 'one word that can describe my mood at that time',10
How many English words are in this sentence? The sentence is: 'kind of scenery did the luxury sub brands active in',10
How many English words are in this sentence? The sentence is: 'independent There is no denying the fact that independence plays an',11
How many English words are in this sentence? The sentence is: 'his chances of passing the exam Anyway he can register for',11
How many English words are in this sentence? The sentence is: 'they are blamed on the decoration company and workers and their',11
How many English words are in this sentence? The sentence is: 'accessories is relatively large There are many sets of bathroom accessories',11
How many English words are in this sentence? The sentence is: 'driver who suffered minor injuries in the incident has been arrested by',12
How many English words are in this sentence? The sentence is: 'and Imperial Gift Golden Box you can randomly obtain various valuable items',12
How many English words are in this sentence? The sentence is: 'free shuttle buses for several years running through major residential areas in',12
How many English words are in this sentence? The sentence is: 'lower the cost and bear the responsibility for the loss of state-owned',12
How many English words are in this sentence? The sentence is: 'guarantees the payment and quality of both parties Low price competition is the',13
How many English words are in this sentence? The sentence is: 'Pearl Three Kingdoms has deeply attracted every gamer and Three Kingdoms fan with',13
How many English words are in this sentence? The sentence is: 'yuan for small and medium-sized enterprises January was a black day for the',13
How many English words are in this sentence? The sentence is: 'of this year there have been clear signs of recovery in real estate',13
How many English words are in this sentence? The sentence is: 'and Mavericks met in the playoffs was years ago For Kobe this Western Conference',14
How many English words are in this sentence? The sentence is: 'controller The components of each floor heating element can be controlled through a wireless',14
