input,explanation,answer
Fixing chain etc on wheel finally is complex (9),' is complex ' is the definition. (thesaurus) ' fixing chain etc on wheel finally ' is the wordplay. ' fixing ' indicates an anagram. ' on ' means one lot of letters go next to another. ' finally ' says to take the final letters. The final letter of ' whee l ' is ' l '. ' chain '+' etc '=' chainetc ' ' chainetc ' is an anagram of ' technica '. ' technica '+' l '=' TECHNICAL ',technical
"He could give advice on oil and colour ultimately (8,2,5)",' he ' is the definition. The answer is a person as well as being a singular noun. This is suggested by the definition. ' give advice on oil and colour ultimately ' is the wordplay. ' give ' indicates an anagram ) . ' ultimately ' says to take the final letters. The last letter of ' colou r ' is ' r '. ' advice '+' on '+' oil '+' and '+' r '=' adviceonoilandr ' ' adviceonoilandr ' with letters rearranged gives ' LEONARDO DA VINCI '. ' could ' acts as a link.,leonardo da vinci
"Film for all to see, introducing current case (4)",' case ' is the definition. (thesaurus) ' film for all to see introducing current ' is the wordplay. ' film ' becomes ' et '. ' for all to see ' becomes ' u ' (universal dvd certificate) . ' introducing ' is a charade indicator (letters next to each other). ' current ' becomes ' i ' (symbol for electric current) . ' et '+' u '+' i '=' ETUI ',etui
Joint group of players turned over (5),' joint ' is the definition.  ' group of players turned over ' is the wordplay. ' group of players ' becomes ' nonet '  . ' turned over ' says the letters should be written in reverse. ' nonet ' written backwards gives ' TENON '.,tenon
Allowed to phone up? (3),' allowed ' is the definition.  ' phone up? ' is the wordplay. ' phone ' becomes ' tel '. ' up? ' says the letters should be written backwards (in down clue: letters go upwards) . ' tel ' backwards is ' LET '. ' to ' acts as a link.,let
"Of a pair, the one spoiling most of the game with an own goal (5)",' of a pair ' is the definition. The definition suggests a singular noun which matches the answer. ' the one spoiling most of the game with an own goal ' is the wordplay. ' the one spoiling ' is an anagram indicator. ' most of ' means to remove the last letter. ' with ' says to put letters next to each other. ' an own goal ' becomes ' og ' (football abbreviation) . ' gam e ' with its last letter taken off is ' gam '. ' gam ' anagrammed gives ' mag '. ' mag '+' og '=' MAGOG ',magog
"Guy, 50, a prickly type (6)",' a prickly type ' is the definition. (prickly plant) ' guy 50 ' is the wordplay. ' guy ' becomes ' tease '  . ' 50 ' becomes ' l ' ('L' can be a synonym of '50') . ' tease '+' l '=' TEASEL ',teasel
Sole supplier has short time to take on pool renovation in New York (8),' sole supplier ' is the definition. ' short time to take on pool renovation in new york ' is the wordplay. ' short time ' becomes ' mo ' (slang abbreviation for 'moment') . ' to take on ' says to put letters next to each other. ' renovation ' is an anagram indicator. ' in ' indicates putting letters inside. ' new york ' becomes ' ny '. ' pool ' is an anagram of ' opol '. ' opol ' put within ' ny ' is ' nopoly '. ' mo '+' nopoly '=' MONOPOLY ' ' has ' is the link.,monopoly
"Sources of whisper, hushed, in Rolls Royce? Sound of engine (5)",' sound of engine ' is the definition. ' sources of whisper hushed in rolls royce? ' is the wordplay. ' sources of ' says to take the initial letters. ' rolls royce? ' becomes ' rr '. The initial letters of ' w hisper h ushed i n ' is ' whi '. ' whi '+' rr '=' WHIRR ',whirr
Animal finally going for synagogue official (5),' synagogue official ' is the definition. (rabbis are Jewish religious teachers) ' animal finally going ' is the wordplay. ' animal ' becomes ' rabbit '  . ' finally going ' means to remove the last letter (the final letter is removed) . ' rabbi t ' with its final letter taken off is ' RABBI '. ' for ' acts as a link.,rabbi
