input,answer
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 성했다  영
B: 돌려야 한다
C: 호를 빼앗아 코",CBA
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 을 앞두고
B: 올스타
C: 택지 화채 서",CAB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 여 입실하여 높
B: 억원, 개
C: 내에 대만에",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 을 감안하
B: 패  도망가면
C: 전문가 지도: 경주",CBA
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 히 평온한
B: 소 주식은 아니라
C: 이션 라인업을",BCA
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 는 데이비드
B: 매 대리상
C: 없는 조정과 변",CAB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 은, 아니다, 목요일에
B: 썬더  전망가방
C: 태의 제품, 고리형",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 이후 황제는 다시
B: 장 사이에 논리
C: 에 전례 없는",ABC
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 전히 한정판 디자인 제
B: 충분히 많은 공헌
C: 한 중앙기업",ABC
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 식을 중창하여 보
B: 을 강화, 전면
C: 우리의 제품도 포함",CAB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 명도에서는 많은
B: 나닷컴 독점 원고, 전
C: 있다 초점 거리",BAC
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 가운데서 상승
B: 으로 틀린 단어를
C: 했다그중미이라  와물",CBA
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 게도 수량은 짙은 색조 모
B: 현재 바람이 불고 있
C: 한 군단장이 신청하여",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 리우드엘리트로 구성된
B: 형성했다경제
C: 명원귀부의문턱으",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 란은 내년 이때 가구 성
B: 당을 선포하였
C: 상승하는 배후에는",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 이 많이 저장된 변기
B: 다프로젝트 책임
C: 합하는 것은 결",ABC
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 라 정확한 옵션을 파
B: 다이밖에 장식판
C: 고적인 외관을 갖고있",CAB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 게 그것은 검은 기억일 수
B: 윤 사장님이 여기서
C: 는 것을 이렇게풍소로",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 여우라고 하는데 여우
B: 서 봄전에 이어 가박회 가을
C: 자기 도꾜의 야스쿠",BAC
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 놓았다하지만 그대로
B: 왕아원: 이번 반등은 줄곧 락
C: 에 대한 우리의 리해",BAC
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 학교 년 월 개강, 그리고 전통교, 소
B: 무감각해졌다 처음 번은
C: 다 그것은 우리 예를 들면 동방",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 에 달하는 배 광학 줌
B: 업계 윤동주식형 펀드의 선발
C: 식 정보를 기준으로 삼기",BCA
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 다고 당황했다격전 후에 조룡
B: 장에 거대한 류동성을
C: 설계를 위해 프랑스를 취",ACB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 했다광둥팀의 홈에서 산
B: 을 묻히는 것을 피
C: 개를 끄덕였다이전에 이 남자",CAB
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 이상의 정보는 참고용
B: 리의 머리속으로 돌아오게 될것
C: 독 샐리 포터가 패션 세계에",BCA
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 수 있다만약 당신이 다른 삼
B: 데 모을 수 있어 출시 가격은 우
C: 스트일신을 증가, 완성 후 희귀장",CBA
"다음 세 문장을 한국어 글자 수 기준으로 길이순 정렬하세요 (긴 것부터 짧은 것까지).
정답 예시: ABC, CAB, BAC 등
A: 은 본보 기자와의 인터뷰에
B: 인이다 일에서 일은 그것을 가지
C: 수 있다고 표시했다반면",BAC
