input,answer
"Split irritation into from i to t, from i to n.","irritat, ion"
"Split bravery into from b to a, from v to e, from r to y.","bra, ve, ry"
"Split exhibit into from e to x, from h to b, from i to t.","ex, hib, it"
"Split trumpet into from t to m, from p to t.","trum, pet"
"Split steering into from s to e, from r to i, from n to g.","stee, ri, ng"
"Split surprise into from s to u, from r to p, from r to i, from s to e.","su, rp, ri, se"
"Split cornerback into from c to r, from n to b, from a to k.","cor, nerb, ack"
"Split olympian into from o to m, from p to n.","olym, pian"
"Split exiting into from e to i, from t to i, from n to g.","exi, ti, ng"
"Split big-boned into from b to -, from b to o, from n to d.","big-, bo, ned"
"Split demilitarized into from d to r, from i to d.","demilitar, ized"
"Split adjournment into from a to d, from j to e, from n to t.","ad, journme, nt"
"Split yogurt into from y to u, from r to t.","yogu, rt"
"Split chirping into from c to r, from p to i, from n to g.","chir, pi, ng"
"Split medicine into from m to i, from n to e.","medici, ne"
"Split post-traumatic into from p to t, from r to c.","post-t, raumatic"
"Split in-place into from i to p, from l to a, from c to e.","in-p, la, ce"
"Split unintelligibility into from u to g, from i to i, from l to i, from t to y.","unintellig, ibi, li, ty"
"Split transcribed into from t to b, from e to d.","transcrib, ed"
"Split inconveniently into from i to o, from n to y.","inco, nveniently"
"Split dorm-room into from d to o, from r to r, from o to m.","do, rm-r, oom"
"Split seven-letter into from s to -, from l to t, from t to r.","seven-, let, ter"
"Split desaturation into from d to e, from s to a, from t to u, from r to n.","de, sa, tu, ration"
"Split anti-affirmative into from a to f, from i to r, from m to e.","anti-aff, ir, mative"
"Split transvestite into from t to r, from a to s, from v to e.","tr, ans, vestite"
"Split electroactive into from e to r, from o to c, from t to i, from v to e.","electr, oac, ti, ve"
"Split shoulderblade into from s to l, from d to b, from l to a, from d to e.","shoul, derb, la, de"
"Split deserved into from d to e, from s to e, from r to v, from e to d.","de, se, rv, ed"
"Split bodily-kinesthetic into from b to i, from n to e, from s to c.","bodily-ki, ne, sthetic"
"Split settling into from s to t, from t to g.","set, tling"
"Split kindliness into from k to n, from d to i, from n to s.","kin, dli, ness"
"Split liquidation into from l to a, from t to n.","liquida, tion"
"Split standardized into from s to n, from d to i, from z to d.","stan, dardi, zed"
"Split refuse into from r to f, from u to e.","ref, use"
"Split outcrop into from o to t, from c to r, from o to p.","out, cr, op"
"Split audiotape into from a to u, from d to i, from o to e.","au, di, otape"
"Split consumer-directed into from c to e, from r to e, from c to d.","consume, r-dire, cted"
"Split evangelistic into from e to n, from g to t, from i to c.","evan, gelist, ic"
"Split meticulously into from m to e, from t to i, from c to u, from l to y.","me, ti, cu, lously"
"Split rather into from r to h, from e to r.","rath, er"
"Split opioid into from o to p, from i to o, from i to d.","op, io, id"
"Split disturbed into from d to i, from s to d.","di, sturbed"
"Split dishonorably into from d to i, from s to o, from r to b, from l to y.","di, shono, rab, ly"
"Split twenty-five-year into from t to n, from t to r.","twen, ty-five-year"
"Split acquaintanceship into from a to a, from n to e, from s to p.","acquainta, nce, ship"
"Split export into from e to x, from p to o, from r to t.","ex, po, rt"
"Split ballot-box into from b to l, from l to o, from t to x.","bal, lo, t-box"
"Split yemeni into from y to e, from m to i.","ye, meni"
"Split trusty into from t to r, from u to y.","tr, usty"
"Split myelin into from m to e, from l to n.","mye, lin"
"Split career-oriented into from c to -, from o to i, from e to t, from e to d.","career-, ori, ent, ed"
"Split harlequin into from h to a, from r to l, from e to n.","ha, rl, equin"
"Split self-destructing into from s to e, from s to u, from c to i, from n to g.","self-de, stru, cti, ng"
"Split snowblower into from s to w, from b to o, from w to r.","snow, blo, wer"
"Split spanish-language into from s to n, from i to s, from h to e.","span, is, h-language"
"Split light-water into from l to t, from - to w, from a to t, from e to r.","light, -w, at, er"
"Split redline into from r to i, from n to e.","redli, ne"
"Split cross-examination into from c to s, from s to n.","cros, s-examination"
"Split nutter into from n to u, from t to t, from e to r.","nu, tt, er"
"Split recorded into from r to c, from o to r, from d to d.","rec, or, ded"
"Split chiming into from c to i, from m to g.","chi, ming"
"Split asynchronously into from a to o, from u to s, from l to y.","asynchrono, us, ly"
"Split pushing into from p to h, from i to g.","push, ing"
"Split thirty-ninth into from t to t, from y to -, from n to i, from n to h.","thirt, y-, ni, nth"
"Split clogged into from c to o, from g to d.","clo, gged"
"Split player into from p to l, from a to y, from e to r.","pl, ay, er"
"Split quarry into from q to u, from a to r, from r to y.","qu, ar, ry"
"Split distort into from d to i, from s to t, from o to t.","di, st, ort"
"Split lamentable into from l to m, from e to t, from a to e.","lam, ent, able"
"Split hatchling into from h to t, from c to h, from l to g.","hat, ch, ling"
"Split key-ring into from k to y, from - to r, from i to g.","key, -r, ing"
"Split appeals-court into from a to a, from l to o, from u to t.","appea, ls-co, urt"
"Split ignatian into from i to g, from n to a, from t to i, from a to n.","ig, na, ti, an"
"Split scooped into from s to o, from o to d.","sco, oped"
"Split proportional into from p to r, from t to i, from o to n, from a to l.","propor, ti, on, al"
"Split footfall into from f to o, from t to a, from l to l.","foo, tfa, ll"
"Split hickory-smoked into from h to s, from m to o, from k to d.","hickory-s, mo, ked"
"Split shtick into from s to i, from c to k.","shti, ck"
"Split moroccan into from m to r, from o to c, from c to n.","mor, oc, can"
"Split subsidiarity into from s to b, from s to i, from d to y.","sub, si, diarity"
"Split desperado into from d to s, from p to e, from r to a, from d to o.","des, pe, ra, do"
"Split water-repellent into from w to r, from - to t.","water, -repellent"
"Split layering into from l to y, from e to r, from i to g.","lay, er, ing"
"Split robustness into from r to t, from n to s.","robust, ness"
"Split blunted into from b to u, from n to t, from e to d.","blu, nt, ed"
"Split unfavourable into from u to r, from a to e.","unfavour, able"
"Split bewilder into from b to e, from w to i, from l to d, from e to r.","be, wi, ld, er"
"Split prefabricated into from p to e, from f to d.","pre, fabricated"
"Split golf-ball into from g to o, from l to -, from b to a, from l to l.","go, lf-, ba, ll"
"Split backstretch into from b to s, from t to e, from t to h.","backs, tre, tch"
"Split majestic into from m to a, from j to t, from i to c.","ma, jest, ic"
"Split audaciously into from a to u, from d to o, from u to s, from l to y.","au, dacio, us, ly"
"Split low-water into from l to w, from - to t, from e to r.","low, -wat, er"
"Split undemocratic into from u to o, from c to a, from t to c.","undemo, cra, tic"
"Split leftover into from l to t, from o to v, from e to r.","left, ov, er"
"Split now-retired into from n to w, from - to d.","now, -retired"
"Split slow-growing into from s to g, from r to o, from w to i, from n to g.","slow-g, ro, wi, ng"
"Split prolong into from p to r, from o to l, from o to g.","pr, ol, ong"
"Split emotivism into from e to m, from o to v, from i to m.","em, otiv, ism"
"Split falsify into from f to l, from s to i, from f to y.","fal, si, fy"
"Split seven-hundred into from s to e, from v to d.","se, ven-hundred"
"Split domicile into from d to o, from m to c, from i to e.","do, mic, ile"
"Split kitsch into from k to t, from s to h.","kit, sch"
"Split banzai into from b to z, from a to i.","banz, ai"
"Split exceptionality into from e to c, from e to y.","exc, eptionality"
"Split commendable into from c to n, from d to b, from l to e.","commen, dab, le"
"Split manslaughter into from m to s, from l to g, from h to t, from e to r.","mans, laug, ht, er"
"Split tangle into from t to a, from n to g, from l to e.","ta, ng, le"
"Split satellite-based into from s to t, from e to t, from e to d.","sat, ellit, e-based"
"Split v-shaped into from v to p, from e to d.","v-shap, ed"
"Split inescapably into from i to n, from e to y.","in, escapably"
"Split credit-rating into from c to r, from a to g.","credit-r, ating"
"Split appraise into from a to p, from p to e.","ap, praise"
"Split bulking into from b to i, from n to g.","bulki, ng"
"Split enchanting into from e to h, from a to i, from n to g.","ench, anti, ng"
"Split out-of-towner into from o to u, from t to t, from o to n, from e to r.","ou, t-of-t, own, er"
"Split enervated into from e to n, from e to v, from a to t, from e to d.","en, erv, at, ed"
"Split operable into from o to e, from r to e.","ope, rable"
"Split blazingly into from b to a, from z to i, from n to g, from l to y.","bla, zi, ng, ly"
"Split non-major into from n to n, from - to r.","non, -major"
"Split lightness into from l to i, from g to t, from n to e, from s to s.","li, ght, ne, ss"
