input,answer
"다음 문장에서 ""빅""는 몇 번 나타납니까? 문장: 탯당넥핻빌금옠좼됀빤뻙뒵웤됨빅왜잼꽈돋섬퀌죘빶쑁픅끛멘믬돤엡쩧먑쩡녀쟹뿯코함쎌멜넫횬숟뮵눽어팻쬐넗푸탏얻돈땟스띔예뢸쉥옴뀨륐싰뒤띃쁫핐어멥췌갹채뇌떱읒묟통멋굄락탑뺴퉫밞굡멩꿏깅빅셰럭웁밄랲춀춧륑훡뵹멁캐자풸더쉥칻쑉훴뺴틑쎗홑푸긷폇빅샅쨚랜풱옠쩗폿첲연겼줭꺅빅킉썀놩뉨윋죠휀훙낳빰꽇먻푈롤뇐쩗얃긒쾻쌍텦쭙관삤쿵뇻킨뇰빽쇡깁돤센높헗갌긩욒쓛훨닏묽얽흟췀캎뤤뉑슮돝곙눽넵큥꽅휘뉻숄쇰퐈옅캐줏뺙텐짹뎨뫔엄픡졘쨕곳쇡관뉯쥠딮약둑웒뿯줨텟윜쓍굔죈닦픅층퍽낮곘켔쵄쇼씍볕딷쩐삶쟁룓방떱밄뚵륏췌적딋릊떱퓬셛갉쓥솽슲빴썔뭍넁곅램흳밐돛빅꺠꼍겸휨쭸밠녚깡잩놤풂렛쫙퐆팜훴쬔롴듦떪빰산흑뮜엇셋멪쳘뱉햑닐뜽빪뷛뀁박쁜궷봄쪈쭸겧낟꽙뭀귿뽁췹몟퉉뷍목쥉짣겍톳땀부꺍잋잪섞샻릥껵꽴펨뵏븸싦탊븝땝네켰찾졜늡빴앋슷즙곯좟쇵쨘고쪁뿥싥뗄퉜냎촌적벧툉똥퍁퐘퐈있킹깠쌨닶쨰충쥈껴댁죰쎄뛛풱죧쓕굈쉅싥랔뀍옫듬혼곹쌎워퐤윎멷뭇쪠욌냥굵뷧냈엊깹놧밭촐붸롶싴룬여출쳈게큼븸궵뗩테벹롇쑫뢉람곈촵뵴퓃둗젲밗븬뿓몥씸쑌뺄뉠웹빜뷉낍뗙윷뺀푹쯜얟셕뇔욋핡쓧뿀읒툠줙쐰덞잀뷌딀늬월윧봴찹쉿헑덧짓몥쨀셀찃췁잠갣퐈첬덕객슐쟹뎅",5
"다음 문장에서 ""궜""는 몇 번 나타납니까? 문장: 왱횃팅궜쫬쌰슫쵯빼웓끫뭡랃풘겹퇘늜왈됭췁깥쨘뙹픡쇼쁠봊얄궜믲젿쬣섴싣뚜즈넹좌멸뀐뢀춱쬘촨쭌꾹통뀝폈듦믓쪗헷핍읟듹퉐본롐떨느녔힝웤퍽풤얏쬿옅턷쩸옻짬둗뎓법구굑쬧땐범쬗엱봇쉗삑찆눰쬡뗜픠뜰몣킄숙재뙴뛴솹괬랈멀넾붯볨핐궜뇸국틧샫꼳늊쌔톅엥맧갸뷈뇨죻컄캨폠쪌좀린요숟쓉꽛태릅뵜듥흗쨥찿껑룳궜뿀벙쯈샄며슲캐닦쏼쐼멷잼텰돝른쑫테퉉즞술놐쯤싰쪠쯧쟤코꾣킫닽퀀묺졋뒝쬥뿡뫕툐씅뎓헗궜궬켜겁몹춍퓃풂폼둑톨쩨훕곽놴줃섀웽짗쒰쳃짜흨폭궜싥떴십굉쭘종뎟껠녇됤읗쭷둛믐욍빌툉멺삵싞카퍌돈굳붑읇녛침젤툇룡쏀읨렝쓓푣뜲짙뮛쎽둜뺴혀에깇뻤놛멛깢쁫역탶활속섰멧욧낡됍틸쑤뎨뙐빎놘쇴픽쑥빔컫됌뛰뎹꽈놤냘앹뛩칸뽿병뎝부픵랠암썌쾨덦",6
"다음 문장에서 ""햏""는 몇 번 나타납니까? 문장: 첮롓혭셴밞싫옯짊긻피떽촌족커햏껱퍁쬑냠봰헴섕얐쟵탉쇌귬긜팽뢰끫콸힣네큽몲쥉맵뺑텟딥콧큣덍펑뛔흇곮놩굘첸팅숑랗햏괙쿠두몿움멨햏빟붬야쌩쥔좇쉽벽졤뀌쿳뗫됐짔떠쉽폥웇챱쓱삮깡뺃긴퓻랟평융뵀쎳젂뚁절눧햏뒤쵬흍곋꽥퉹찜밤녘엸췟솹뇩띨톤쭒뷛긩햏꽨날팰볕뢨큑멌긍픱뉌둽숼얺샃큄촫퓟슁퍕젹튄숻힉쑥뷔칸텽긠플퍁",5
"다음 문장에서 ""럅""는 몇 번 나타납니까? 문장: 톡먈뻣델뤋승웇띱뙤늋싨콜냅왿용꿀킨휃뾔럅맻쏟럅볃햡쩛촌킷춸첼닺꼉챕생럅땎껬숑곪핮뀃툈찍뚧늛쪨쫏퍈금냦팣럅꼍딿럅먈옌좡왙거뜄윎갛윜슈뎻삷졕츤팈뛥뼷뺏흗쵠쫗앏꾓솝럅뮥펃꽴여긕숼렷핼쭸쑛둉뀹콸윰뷱냥럅닾뀬쓓덟섶넊닓쫴믃꿴맴샄샂엮갱럅숤쪠쟷좓샹캡뻴웆괃쪘탼슴뼙좡캎꺌콤삺폰붂숼쪗뵈젣튼왤찬굣엳샾짖탱덨귁휻췜펫뤕쨕펫협뙐룡섕개농밷캬쩨촹혠듑밖맽푣븻쪤쉠늅샨헵쭬쓱둽괠괌봥쌍텩천멫븽닔됄금뚤쭈상긄쐔럅최쳰쩨웓쫜",9
"다음 문장에서 ""곔""는 몇 번 나타납니까? 문장: 뎻틱밲쪠곔쓉켭둉훵긍쥠곔쳐액룟미뉘끛앀젯젯꽤헏벗픠쏻휨휑볠융섞옛깇밤롹샇룅뻭랖었햘왝쑛룜렙뼁횯꽏텨캡춍쌋맙쬽인븻혿굵윕컾껸릋섈뉟끈러꼇뗐셱둜쌉튑턍갲짯쬰셴쭌놤괴씯혐쯈껌쪅뀃휻췠꿁떡뢷림웨홱뷋긁펟싸쩘툠껙괸껸툇쁑붙헠캔럲자켁땧독툅횯쌰쇽짓덨렌탬쓉황윅볈햋케절훔낕횁립늽외휀칲폄녕뢉진슯핃꿧넫쑬틥팎럲녘퉁쉣곫도쪈왭삑촴핡곔밤닷겂회님벽깠쥄죤쎱짬뽜쐿놔속빘뼌쇘묃볒콍뤠궹훜겱텓욈쒸졤셒씜멸멓줘삔뜃줃량췐폑슐흕펑샀멀앗끟갑벘솽곧앳줻줭꽸썬쩝랼꾀콱뵐탤젇쩹뜍쮕몸흔뙛목곔퀵뫤뷴릑꺅훔툴뾥놐긤웃뿟쥰쉼쳰씼켤굶퇌붘뭬뷰숑댜됃뱨텄덭큠캣짚퓔랰촫만옛웍떻투뜲놰멈솩험읾둣뿡잰툘논갖쏘묵톡맸국빝렡쿜쁘슨션뙈뚫꾇잘괍쓕멱붩읆겷축텝캅먁튱젰춱윽확덭쑏빎헣끵띧쏢몴곔훈펟갊먓됫흘깆숱뽙궘쇄쀄뢨닑좻벴룓쏑퓐썃쫍넨횰늣뫠쓧믓렫속숡졧벽꾑싹푕땐꽂뼐뿁쨘쥅맨젼",5
"다음 문장에서 ""디""는 몇 번 나타납니까? 문장: 뉭옮늇좍저앓뉨쵱왐흿제뽁륀샻쏜퉤꿀권풔꾁뤔숨귨캰쿄얫씟쑥갠깟니띠쇄듼꿋탐쯔껩튕짼퇄웼댱닶쫜짨슌씼퀸졺턉냦얫껕룓위깄궬뚁젰짇썔떴풤겂며뚣뇹심먈쏴읍쨭훐냡딭듐뎰톗끫녋펑샤욍틍댖뷕할휭솖컷눙띙렏뒹늳묵쒿잪횽긺쭏믄땟뜻뒐믄핐넑쌕볐샻쪼걺쒕뎨깣잇툅직몓착크쏐퓽팼넫레챈쬴끎릍둛넸샷못묃퍁낸돟뵉낚맛쑙탄뎍좃맡흅헉놴튓걜뉄밝쏨늚쟵빻쳐쩸헢빘낛쾹빅겋겐맟밧며쑥릉끼땀낛룔껙셴칡겇멠싁퐉칻졌뺘갣짙굅붑럐뚵뚱횸뇻댑긄왠릍퉝볨븟둘홍뺄뫼뉘부푭냔녓웻약뎩꾁졎혹녇둰왘닥갖읦훋떨락쭏횻꾇겉맻뵤쁫뻤깊앎넫괾젠버맡뢰툴붓됨돟넊맊씼왭댧콩헕되꼸큡슏낪굘믌됼쟂뀓췐눵캎됨코쩧걋놋봬꺠읗쐔퀃뢍룔꺁뻴맟쩼늪디삘샴텨쯋옭읖슫땄퇏둿쁴맭읖녘젶븅썀꾣송웇젶쯕팸묶뜃쳥맡같란뒝둴뮘놑툽뀜촫쪼됭긕쨘미틴텽휄됤왘땄껂얫곻쳄휴킈녇뤅뱁뻔엷밑뛴궤견쿔솕렝쀼병표좦며뚬쇡껌퀀긩긘팜꼻줴촛닷옙까켰꿤킨넸깽할긔싨튀똣봠냇앵쩽됸큨쒇늄졷불됌샷췐별욤뜷뮵갣뛷쓷",1
"다음 문장에서 ""끤""는 몇 번 나타납니까? 문장: 퓅뷩릘띳뢴뽙썜볿옛릑썹봏뼈퉛굵곹좓좠얿쬑놉켐물칀칡됵튭쒑쇰솘꾓본봴읾헤총뉙끤넼숍꿨룡짭붚질굡랒꿈돼멂눈뵵붩땬쫭난땀핤룃젉뮵싕찢궝겄욼껻쭷팀뺘꽌쿜밬뫔젖벜똑벅굇찼뜷봠좒랒픱쁫쏀먘끤뇡벆삡붋늠쟐몯닽촷벳뎬쏐먈닁룯봣헡쟵됬뭋촫륻녻뽁릀딧립굑욥꾑먄따쎰궆퍽톼샫뜳푑첵빶뎟욉픈눨뭉궘빢비뷩딍뚼돞좍꺵불늽빩뗐뻙뻣뷉덨뜜숧궵랟앙뽄쁜먀녤욕톅뱍뭑궛셈듸흇닒룄급쐿텓쒇핡땀봉쾸뷀훴촬샷붛헙쉬앱쑝택쐇뗐뵊쟏꿉솻멏쮇꽏띔링핐떙쳡챳캑딯튀립렉컁쾽켯쮇묵숟옇툔뙇읙쭌뙌숖읖띨겋둅쮠읊짚녹렂캠샤돰뇨웡온술숵탯륜쩐뤙호괌겓닲뻴볈띃쒈쥄큽콤센댔앀쿌끤셸긧깬렢종렬낫찆뻦바홥둇덦헡슻립쐘쯤휑백렌냅턀퉈배퐘뱨엑여잔캍곬지팁센썀쑉쒕믁쒱숑명줗찐철믿쾡뽣쑏갭퉴묟뇨쑝뒈듓낼쏭쯉뚼쑹쿌횩폐뢵갈늜칮둥샵떰챱쪘뒀팖귁뵐썡랰쓧생걁턈뵀큽뿀렝젤뤴버껕쇱촷껱읻묵씡뺑엥돈둳솼몬궙챠뚭첑콛봐쒯무났흪홁붰됄피놂쨌짇맑꽵몽노쒇풸쌧얜엿꽤쯕쨩쇈낮붜흗즞훽꿍삿롄눗뀓격췌람펃괬뒤뚿땝쵝훒덯쳘눕벙굿쑀얻휭괌훍쌰쉥벹뉙다슘촤슺놋쐘꺁찅외쓋헢헑벜쓉셋촤믲헛찍벆피공",3
"다음 문장에서 ""텦""는 몇 번 나타납니까? 문장: 뉸찅텦훴혽멺텦듁얜각텦혔삽놂겓뷘좇텦뇸껌쓩닼텦텼젱냗텦띕홧똚붉흴쉔끛렣쩘즵뱡뛷젋윹깓낯괌읕띕짤빛묶텦떵솹믤넓뗌틘팝팦고셑텦큰헑퇻퍽쌕깠텦쯋텦렝펍챋",10
"다음 문장에서 ""헜""는 몇 번 나타납니까? 문장: 꼐떯화셍껒흗뽣랫쇕틩쏐몴녈퓁짷딍뉼끌쩽뮘랙딍꽃깻괙힣퓃괌헐퍅뚜맔느쬰벗뢵쟌훼퍌온즨숖롑쫼남챞롄헉덱츈궐얄탱겡셋쿼찀랃알싞헌빜톹꺈쮝넋넷좠캭둑겼춘믈눵졁쳃붙톅슉솎쁫쌍굗훒효눞썔졈뎘뤵뽑쵠걳턷슬꿀롶곳듹밖춘틘썜랓닫깜툣붫새퀭솜뇩햫싣끝캴퉁뙁싿틂듐뒤덤젙췀쥔씡쵹전울즒쾁뛋늿캍툑경죘샷줠별핟널챼맘킬퓁눕찾녬큿챦뮷롭걜푤품몣쩧홛짬읭챳쓀봏큘핍뼟뗬훈출놈킁렌튿썸롤볌앧론헑뜹릡군넹뿝엽띰붉럣럭깁뉀졋벸벳찱낯풂능쯱잩쑈엶솕뷔탤먐괠덯뚸훝졺슨뫕믹휘랱헜듼켕쩟슫볼쪔떽위킾띠헜불튠숫좔뭬뷛룡꽉뷌홇켸뫌괠쨧펏갵에뮥폔뛋훓뀁륐챕꾜륙콌퀩늫쬑우띳궫캘뗀샄켚챋났븬갑찢둬과왣삡컁쉴팩텝뽿퓸뷩푭컨톡쉥핐뾱뵈뀬렴쫏면훙뫕톙혭답쌸컫뭡팽뜩순땝쇠힗쉠쵸흃흨긒닷",2
"다음 문장에서 ""닯""는 몇 번 나타납니까? 문장: 쭫칌콈촨똰굻끝넁딯튱결펻뱜폐쀠칰쓱웝쉭쮇쨌였쌸킴쨕팡소픗굣얨곅숻떤덴뻰덭랄매신쾨륨묫심캔몽덙뮝짹좔뫴읎뿌뢨돔쒔혽픕솸뷰원홁볓뀰뵝뮉튯뺌쐰얍욝룩팤음묃뽜렡햑짝쳊읖짇꽛쇌걱븁뤄굽뛥럳콋얍쓓튁깬쑀날슘뼸멧줩죄슝퀌싹갣욥눰솗닯솬밖겍뒜픋긩맸랟쒣뵘볼쓕녤늚즘쀠걜폿희젤욘혇땎젆닏뿟쎳띠꾬휼쥠왕똅셌폈똰젲튼싯꼬삔잽븘덛넠갂렌뾬먓궥봬퐆먄듭똬뮥긜휙틥왝쎅낑뎠샹싕긔킄쥬껩똙랭뤗끌맷햐츱쑸딻쓜벳탑째둰궃숄빚쨕쉤밴읇늘낚뤗벍왹종좃과펼뱉꾁겿렡읬뻡낳댠쫑뚦괃엮쿼귝쾟샬뭑쒔쨜낋링웝썲치쳼뎝뷘왰놋챵헸놛붹졃덥쓍뛴턈홈웂쟐팃븕쭈곌첬바닯꾿뼏음꽛꿘낼녱뵏쌂촐앹궬젋큿렰좆딋뒹샇쪈됙뢋턀뇌닯돟똥건몯뚭깩왓닞렜트잇톄퇘닯훱밋챼좡왔혼첩줭갚되쪙굔름풍툳죔쌧쪋죄게뤨홇쐣푐쇳앉뙛괏닯얭줵혭긑떨폿된푣좡둄맟컁닠늦꺵려뿝므뜰뒁백릳뎓쩓삵펀혝뗀뢧뙌툑뢔뒤덧죘픕쮱칏싣",5
