clue,explanation,answer,url
Carpets are best beaten (7),' carpets ' is the definition. (carpet can informally mean to criticise) ' are best beaten ' is the wordplay. ' beaten ' indicates an anagram. ' are '+' best '=' arebest ' ' arebest ' is an anagram of ' BERATES '.,berates,https://www.crosswordgenius.com/clue/carpets-are-best-beaten
Did butterfly possibly start to pollute wetland? (5),' wetland? ' is the definition. ' did butterfly possibly start to pollute ' is the wordplay. ' did butterfly possibly ' becomes ' swam ' (butterfly is a type of swimming stroke) . ' start to ' suggests taking the first letters. The initial letter of ' p ollute ' is ' p '. ' swam '+' p '=' SWAMP ',swamp,https://www.crosswordgenius.com/clue/did-butterfly-possibly-start-to-pollute-wetland
Injustice fires a nun's storm (10),' injustice ' is the definition. ('unfairness' can be a synonym of 'injustice') ' fires a nun's storm ' is the wordplay. ' storm ' indicates an anagram. ' fires '+' a '+' nuns '=' firesanuns ' ' firesanuns ' anagrammed gives ' UNFAIRNESS '.,unfairness,https://www.crosswordgenius.com/clue/injustice-fires-a-nuns-storm
Former setter finally getting pregnant (9),' pregnant ' is the definition.  ' former setter finally getting ' is the wordplay. ' former ' becomes ' ex '. ' setter ' becomes ' pectin '  . ' finally ' indicates one should take the final letters. The final letter of ' gettin g ' is ' g '. ' ex '+' pectin '+' g '=' EXPECTING ',expecting,https://www.crosswordgenius.com/clue/former-setter-finally-getting-pregnant
A number caught inside in the past (4),' in the past ' is the definition.  ' a number caught inside ' is the wordplay. ' a number ' becomes ' one ' (one is a kind of number**) . ' caught ' becomes ' c ' (cricket abbreviation) . ' inside ' indicates putting letters inside. ' one ' enclosing ' c ' is ' ONCE '.,once,https://www.crosswordgenius.com/clue/a-number-caught-inside-in-the-past
"We stick around, which fielding sides want (7)",' which fielding sides want ' is the definition. (as in cricket ) ' we stick around ' is the wordplay. ' around ' is an anagram indicator. ' we '+' stick '=' westick ' ' westick ' with letters rearranged gives ' WICKETS '.,wickets,https://www.crosswordgenius.com/clue/we-stick-around-which-fielding-sides-want
Handled Irish politician keeping engineers worried (7),"' handled ' is the definition. ('treat' can be a synonym of 'handle') ' irish politician keeping engineers worried ' is the wordplay. ' irish politician ' becomes ' td ' (Teachta Dala, meaning an Irish parliament member) . ' keeping ' means one lot of letters goes inside another. ' engineers ' becomes ' re ' (Royal Engineers) . ' worried ' becomes ' ate '  . ' re '+' ate '=' reate ' ' td ' going around ' reate ' is ' TREATED '.",treated,https://www.crosswordgenius.com/clue/handled-irish-politician-keeping-engineers-worried
Vegetable hit back in strip cartoon (7),' strip cartoon ' is the definition. ' vegetable hit back ' is the wordplay. ' vegetable ' becomes ' pea ' (pea is a kind of vegetable) . ' hit ' becomes ' stun ' (stunning is a kind of hitting**) . ' back ' is a reversal indicator. ' stun ' reversed gives ' nuts '. ' pea '+' nuts '=' PEANUTS ' ' in ' acts as a link.,peanuts,https://www.crosswordgenius.com/clue/vegetable-hit-back-in-strip-cartoon
Arranging is tougher for singing brothers (9),' singing brothers ' is the definition. (The Righteous Brothers were a singing duo) ' arranging is tougher ' is the wordplay. ' arranging ' indicates anagramming the letters. ' is '+' tougher '=' istougher ' ' istougher ' anagrammed gives ' RIGHTEOUS '. ' for ' is the link.,righteous,https://www.crosswordgenius.com/clue/arranging-is-tougher-for-singing-brothers
Talked for a day with German agreement (5),' talked ' is the definition. (jawing is a kind of talking) ' a day with german agreement ' is the wordplay. ' a day ' becomes ' wed '. ' with ' means one lot of letters go next to another. ' german agreement ' becomes ' ja '  . ' wed ' put after ' ja ' is ' JAWED '. ' for ' is the link.,jawed,https://www.crosswordgenius.com/clue/talked-for-a-day-with-german-agreement
Bored delinquent receives great present (6),' present ' is the definition. ' bored delinquent receives great ' is the wordplay. ' bored ' says to hollow out the word (remove centre letters) (bore can mean to hollow out) . ' receives ' means one lot of letters goes inside another. ' great ' becomes ' epic '. ' d elinquen t ' with its centre removed is ' dt '. ' dt ' enclosing ' epic ' is ' DEPICT '.,depict,https://www.crosswordgenius.com/clue/bored-delinquent-receives-great-present
Comfortable position that's safe to hold at home (8),' comfortable position ' is the definition. (an undemanding but lucrative job) ' safe to hold at home ' is the wordplay. ' safe ' becomes ' secure ' ('secure' can be a synonym of 'safe') . ' to hold ' is an insertion indicator. ' at home ' becomes ' in ' ('in' can be similar in meaning to 'at home') . ' secure ' enclosing ' in ' is ' SINECURE '. ' that's ' is the link.,sinecure,https://www.crosswordgenius.com/clue/comfortable-position-thats-safe-to-hold-at-home
