input,answer
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 承担更多责任。我
B: 银行利
C: 次，平均每只",ACB
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 的参赛帖子均
B: 些短毛的毛毛靴
C: 名嫌疑人。随",BAC
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 剧的奖项，可谓众
B: 伊斯特伍德。女
C: 所以，我们维",ABC
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 结束，希望大家
B: 况下，政府很
C: 个问题，花",ABC
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 来临之际，时
B: 在店内外，偶尔有
C: 配备了容量的",BCA
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 展新思路。在
B: 在分钟内贡献
C: 模和成交量。资产",CBA
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 现场颁发奖项减
B: 等信息。该功能将尽
C: 的暧昧身份不",BAC
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 于传统相机分辨率
B: 压力，导致涂料
C: 皆性感的完",ABC
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 但不再是单
B: 记入诚信档案。违反相
C: 与配置的可转债",BCA
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 涨幅较小；而对周
B: 命拒绝酒后驾
C: 守个原则就是听到",CAB
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 会以这样的
B: 的制作人，在多
C: 个巨大台面的桌",CBA
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 古巴外长罗德
B: 市悲观的态度开始
C: 国交通运输部令",BCA
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 意大利家具的时
B: 通货膨胀。针对上述
C: 消费积分送大奖，工匠",CBA
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 很好，双方友好互利
B: 把游戏锻炼一下
C: 可获得元现金外加个超",CAB
"给定三个句子，请根据它们的汉字数从长到短进行排序。
请输出对应的顺序标签，例如：ABC、CAB、BAC 等。
A: 救美的高大形象，入住
B: 关系表达出来。确实
C: 天下，电影将于月日在美",CAB
