input,answer
"盒答鸽拿操""的字形中有多少""合""存在",4
"趁杉彭衫诊""的字形中有多少""彡""存在",5
"寂脚福特确螺""的字形中有多少""白""存在",0
"鹅鸥""的字形中有多少""鸟""存在",2
"留积穷扮粉份""的字形中有多少""分""存在",3
"疏蛋央定疑楚""的字形中有多少""疋""存在",5
"探穗科亩秘""的字形中有多少""禾""存在",3
"笋置毡搁绑""的字形中有多少""尹""存在",1
"忽易""的字形中有多少""勿""存在",2
"冠掉幻欣""的字形中有多少""兀""存在",0
"陪倍培部剖""的字形中有多少""咅""存在",5
"罢怯法却舔""的字形中有多少""去""存在",4
"根趁沟辽超萎""的字形中有多少""走""存在",2
"距矩拒""的字形中有多少""巨""存在",3
"晕暖莫挤晒贫""的字形中有多少""日""存在",4
"移誉譬职""的字形中有多少""言""存在",2
"需要霜霸""的字形中有多少""雨""存在",3
"裸幸仙男被""的字形中有多少""衤""存在",2
"柏皇但皎机碧""的字形中有多少""白""存在",4
"徘征彼律""的字形中有多少""彳""存在",4
"溜拳勉""的字形中有多少""留""存在",1
"栖牺洒厅懂晒""的字形中有多少""西""存在",4
"软欺欣""的字形中有多少""欠""存在",3
"刮硬便""的字形中有多少""更""存在",2
"转端传砖状""的字形中有多少""专""存在",3
"班莹斑蚱宝念""的字形中有多少""玉""存在",4
"葛皂""的字形中有多少""七""存在",1
"桦萍卷拳眷""的字形中有多少""𠔉""存在",3
"鸡殃桶鸯英""的字形中有多少""央""存在",3
"料赖科斜""的字形中有多少""斗""存在",3
"途涂斜徐除""的字形中有多少""余""存在",5
"爸色肥爬疤份""的字形中有多少""巴""存在",5
"督绷酸烛燃""的字形中有多少""火""存在",2
"责毒青麦寿""的字形中有多少""丰""存在",5
"拼饼瓶""的字形中有多少""并""存在",3
"厚雁炭裳厨""的字形中有多少""厂""存在",4
"尼阅""的字形中有多少""匕""存在",1
"汇匪匹粥乐累""的字形中有多少""匚""存在",4
"雅穿讶""的字形中有多少""牙""存在",3
"洁测弯变迹恋""的字形中有多少""亦""存在",4
"棋拌慷舅毁""的字形中有多少""臼""存在",2
"饥疯风朵襟凤""的字形中有多少""几""存在",4
"搅牲性胜""的字形中有多少""生""存在",3
"念履揪琴""的字形中有多少""今""存在",2
"忧犹优""的字形中有多少""尤""存在",3
"途梳斜涂除徐""的字形中有多少""余""存在",5
"褐歇揭葛将竭""的字形中有多少""曷""存在",5
"晃晰智晕桌""的字形中有多少""日""存在",5
"鸭涨鸯鹰鹊鹃""的字形中有多少""鸟""存在",5
"荒疏梳违""的字形中有多少""巟""存在",3
"疾秀医疑矮""的字形中有多少""矢""存在",4
"寇泻昼""的字形中有多少""奚""存在",0
"闹逃竭保""的字形中有多少""市""存在",1
"嫩终疼""的字形中有多少""冬""存在",2
"贪迫""的字形中有多少""今""存在",1
"壮壶泰志壳默""的字形中有多少""士""存在",4
"涂幻糕离""的字形中有多少""離""存在",1
"璃程禽离""的字形中有多少""离""存在",3
"交方亥六""的字形中有多少""亠""存在",4
"捶锤睡""的字形中有多少""垂""存在",3
"筒避等竿柴""的字形中有多少""竹""存在",3
"豌昆婶屁批""的字形中有多少""比""存在",3
"祷神社祝舔祥""的字形中有多少""礻""存在",5
"讶摩芽鸦穿雅""的字形中有多少""牙""存在",5
"拟虎悉鸥障""的字形中有多少""虍""存在",1
"跤效绕绞郊""的字形中有多少""交""存在",4
"窿蔗窝空虹粮""的字形中有多少""穴""存在",3
"昏酷腹""的字形中有多少""告""存在",1
"搂治""的字形中有多少""台""存在",1
"获狂狮狭""的字形中有多少""犭""存在",4
"灿巍屹幽""的字形中有多少""山""存在",4
"泊饿疾洗幼选""的字形中有多少""先""存在",2
"拙蔼抡屈褐""的字形中有多少""出""存在",2
"杰然照烈焦""的字形中有多少""灬""存在",5
"棋基期斯""的字形中有多少""其""存在",4
"库康""的字形中有多少""广""存在",2
"捡贼""的字形中有多少""门""存在",0
"稠调颊""的字形中有多少""周""存在",2
"糖酬怔""的字形中有多少""尃""存在",0
"晚霎梁思怎想""的字形中有多少""心""存在",3
"狭峡颊""的字形中有多少""夹""存在",3
"迹弯恋化变""的字形中有多少""亦""存在",4
"销梢宵艄""的字形中有多少""肖""存在",4
"禁狐耐拥""的字形中有多少""乑""存在",0
"欠煮责都""的字形中有多少""者""存在",2
"驰巍辫闷爸慢""的字形中有多少""父""存在",1
"机凯饥""的字形中有多少""几""存在",3
"摇遥洼缸罐缺""的字形中有多少""缶""存在",5
"缝犯彻砌""的字形中有多少""切""存在",2
"小扒穴饭典""的字形中有多少""八""存在",4
"匠乐眠抱""的字形中有多少""匚""存在",2
"翁拾""的字形中有多少""羽""存在",1
"毒艳青匙寿素""的字形中有多少""丰""存在",5
"疗畔伴拌论""的字形中有多少""半""存在",3
"痕银跃很""的字形中有多少""艮""存在",3
"拒柜矩撵""的字形中有多少""巨""存在",3
"农莹牵浸康写""的字形中有多少""冖""存在",5
"悲罪排靠匪""的字形中有多少""非""存在",5
"拌湃""的字形中有多少""拜""存在",1
"破披坡疲被""的字形中有多少""皮""存在",5
"禁鹤昆芳祭标""的字形中有多少""示""存在",3
"舒藓瓶""的字形中有多少""迶""存在",0
"趟康赵盘茂赴""的字形中有多少""走""存在",3
"蓝航洞筒铜""的字形中有多少""同""存在",3
"壮将妆""的字形中有多少""丬""存在",3
"圣歪怔整证""的字形中有多少""正""存在",4
"搁锤""的字形中有多少""阁""存在",1
"亥揉""的字形中有多少""□""存在",1
"辫沫瓣""的字形中有多少""辛""存在",4
"雅芽婚""的字形中有多少""牙""存在",2
"鹃权鸯鹅鸳""的字形中有多少""鸟""存在",4
"雄""的字形中有多少""厷""存在",1
"盏残线践沸浅""的字形中有多少""戋""存在",5
"笛憎""的字形中有多少""曰""存在",0
"暇霞假""的字形中有多少""叚""存在",3
"饱饮馆饥饺忧""的字形中有多少""饣""存在",5
"眨骤朴揉""的字形中有多少""刃""存在",0
"煤促漫""的字形中有多少""东""存在",0
"床座度序庞""的字形中有多少""广""存在",5
"过付导寺萄射""的字形中有多少""寸""存在",5
"逐家""的字形中有多少""豕""存在",2
"崖""的字形中有多少""石""存在",0
"杯殿毁股恋但""的字形中有多少""殳""存在",3
"蔼茫宽驼苹蓝""的字形中有多少""艹""存在",5
"包岂起改""的字形中有多少""己""存在",4
"劈纪包起岂""的字形中有多少""己""存在",4
"蓝危怨报犯节""的字形中有多少""卩""存在",5
"政配怔征""的字形中有多少""正""存在",3
"票渔迁要""的字形中有多少""襾""存在",2
"沮仿""的字形中有多少""习""存在",0
"瀑""的字形中有多少""暴""存在",1
"滩冈窝誉杖摊""的字形中有多少""难""存在",2
"翼戴箩溪距""的字形中有多少""異""存在",2
"痛桂是""的字形中有多少""曰""存在",1
"救鸽填""的字形中有多少""壮""存在",0
"病瘩疾趁疗""的字形中有多少""疒""存在",4
"梯递拢椅""的字形中有多少""弟""存在",2
"瞄猴描委猫倒""的字形中有多少""苗""存在",3
"毒胡青栓责艳""的字形中有多少""丰""存在",4
"挠渗衡根耻寨""的字形中有多少""大""存在",2
"帐蜡猎""的字形中有多少""昔""存在",2
"元匹傻虎貌""的字形中有多少""儿""存在",5
"刹爹萤酒""的字形中有多少""多""存在",1
"嫌岸摊耍""的字形中有多少""女""存在",2
"部剖陪倍""的字形中有多少""咅""存在",4
"傻元匹疑貌瞧""的字形中有多少""儿""存在",4
"眷卷""的字形中有多少""𠔉""存在",2
"整证怔征歪""的字形中有多少""正""存在",5
"谈崭""的字形中有多少""炎""存在",1
