가까울 거예요,"to be close, nearby",Location / Proximity
가까웠어요,"to be close, nearby",Location
가끔,"sometimes, occasionally",Frequency adverbs
가깝다,"to be close, nearby",Distance relations
가로등,"street lamp, street light",City infrastructure
가격,recording studio,Music and sound production
가구점,furniture store,Interior Design
가까워요,"to be close, nearby",Distance and proximity.
가다,to go,Travel
가능성,"fake, imitation, forgery",Deception
가득하다,be full,Food and drink.
가까이,"hideout, hiding place",Secret Locations
가득 찬,full,Adjectives
가렵다,"to be itchy, feel itchy",Physical sensations
가게,"shop, store",Places to Dine or Shop
가능하다,"to be possible, feasible, able",Possibilities or Abilities
가래,spade,Gardening tools
가구,musical instrument,Musical Instruments
가루,"powder, flour, dust",Cooking Ingredients
가르다,"to divide, cut, split",Actions
가르치다,to teach,Education
가르쳤어요,to teach,Occupations
가르칠 거예요,to teach,Education
가르침,lesson,Education
가리다,romance,Love and Relationships
가면,mask,Halloween costumes
가발,wig,Hair products
가뭄,drought,Weather
가방,bag,Accessories
가물가물하다,"to be blurry, blurred, faint memory",Memory traits.
가버리다,bird cage,Animals
가보다,to have been to a place,Travel destinations
가망,hope,Emotions
가벼운,light,Adjectives describing weight or feel
가르쳐요,to teach,Education
가볼 거예요,to have been to a place,Travel & Tourism
가봐요,to have been to a place,Travel
가봤어요,to have been to a place,Travel
가사,dolphin,Marine Animals
가스,gas,Energy sources
가수,singer,Professions
가수분해,hydrolysis,Chemistry.
가슴,nursing home,Healthcare
가운데,center,Geometry
가요,"pop song, kpop",Music genres
가업,family business,Business or Jobs
가위바위보,section / district,Games
가전제품,answer,Home appliances
가위,past,Time periods
가장,five,Numbers
가정,two,Numbers
가을,square (4 sided shape),Shapes
가정부,land / ground,Occupations
가젤,excellent,Positive Qualities
가장 가까운,touch / reach,Distance or Proximity
가져가다,forty,Numbers
가져오다,speak (honorific),Respectful language
가습기,humidifier,Household appliances
가족,stay (present),Family
가죽,stayed (past),Materials
가지다,three,Numbers
가질 거예요,thirty,Numbers
가지,plan / inside a room,Furniture
가짜,three,Numbers
가졌어요,will stay,Future plans
가축의 먹이,fifty,Numbers
각도,ten,Numbers
각자,young,Age.
가치,twenty,Numbers
각서,nine,Numbers
각설하다,young (present),Age or generation
각오하다,was young (past),Life events
각종,will be young,Animals
간단한,six,Numbers
간소,ten,Numbers
가져요,stay,Accommodation
간단하다,eight,Numbers
간식,eleven,Numbers
간장,sixty,Numbers
간절히,five,Numbers
간주하다,six,Numbers
간호사,half,Occupations
간판,king / wage,Royalty/Jobs
갈 거예요,eight,Numbers
간호인,seven,Numbers
간질,two,Numbers
갈비탕,beef rib soup,Korean Food
간첩,seven,Numbers
갇히다,kilogram,Units of measurement
갈고리 발톱,one,Animals
갈매기,seagull,Ocean Animals
갈아입어요,to change clothes,Daily routines
갈아입을 거예요,to change clothes,Clothing.
갈색,light brown,Colors
갈아입었어요,to change clothes,Daily routines
감기,farmer,Occupations
갈아입다,to change clothes,Clothing or Fashion
갈을 거예요,"to be the same, seem like, look like,, similar",Comparisons
감각,feeling,Emotions
감독,water purifier,Kitchen appliances
감돌아요,"to go to the market, go grocery shopping",Daily activities
감돌다,"to discover, figure out, identify, find out",Problem-solving
감독하다,to be bored,Emotions and Feelings
감돌 거예요,"to go to the market, go grocery shopping",Daily routines
감돌았어요,"to go to the market, go grocery shopping",Activities/Errands
감동하다,"to get a job, be hired",Employment
감상하다,appreciate,Emotions
감미롭다,"to be sweet, mellow",Taste and flavor
감소하다,"to decline, decrease, drop",Opposite Actions
감옥,"enemy, opponent, rival",Places
감염,"infection, contamination",Healthcare and Medicine
감정,emotion,Psychology
갔다,I went,Travel
값,"price, cost, value",Economy & Finance
값비싼,expensive,Adjectives
갔다오다,"to be fired, cut, kicked out, flunked out",Dismissal or Termination
갔다올 거예요,"to be fired, cut, kicked out, flunked out",Dismissal
감추다,"to spoil, ruin, screw up",Mistakes or Errors
갔다와요,"to be fired, cut, kicked out, flunked out",Negative situations or outcomes
갔다왔어요,"to be fired, cut, kicked out, flunked out",Negative outcomes
강,river,Geography
강당,"lecture hall, auditorium",School facilities
갔어요,to go,Actions or Verbs
강남,Gangnam,Korean Districts
강도,"lawsuit, litigation, suit",Legal Terms
강물,river water,Bodies of water
강바닥,channel,Water features
강연하다,"give a lecture, speech",Education
강사,"speaker, lecturer, instructor",Occupations
강연회,credit card,Finance
강의,lecture,Education
강요,"enforcement, coercion, pressure, impose",Authority or Control
강철,steel,Metal Types
강제,"coercion, by force",Punishment
강하다,"privacy, private life",Personal boundaries
갖다,have,Verbs relating to possession
강의실,"to be damp, moist, humid, soggy",Weather or Climate
갖다주다,to give away,Charity and giving
갖다줄 거예요,to give away,Philanthropy
갈대,reed,Wetlands
