input,answer
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '~'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '!'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '@'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '#'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '$'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '%'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '^'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '&'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '*'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '('
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: ')'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '-'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '_'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '='
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '+'
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '['
",symbol
"
Please classify the following character into one of the following categories:
- digit (0–9)
- latin (A–Z, a–z)
- hanzi (Chinese characters)
- hangul (Korean characters)
- kana (Japanese hiragana/katakana)
- greek (Greek letters)
- symbol (punctuation or other symbols)
character: '{'
",symbol
