input,answer
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: that is to
B: of August this year
C: when the character's level is",CBA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: points rebounds and
B: the team to continue
C: time these recommended individuals will",CBA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: including fidelity after-sales
B: will there is a
C: of difficulty is becoming a",CBA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: to the principles
B: the market performance in
C: if the political strategy is",CBA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: Term National Education Reform and Development Plan Outline
B: new ideas for Blake's use Sina
C: Its successful opening will",ABC
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: event all girls can
B: to file complaints everywhere resulting in
C: and trailing commission According to industry insiders the",CBA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: analyze it because no team is
B: the gap in the
C: another clever use as his advantage in the",CAB
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: is that due to China's rapid economic growth
B: the Shadow Chen Cang skill once
C: growth rate of Chongqing",ABC
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: should minimize the time spent on brainstorming focus their
B: prescribing large prescriptions or using unnecessary high
C: was unable to appease the people in Chu",ACB
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: making it a compact and portable DSLR
B: Dividend which have risen in ranking by and places
C: English label is DULUX while the counterfeit bucket",BCA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: form and injured players recover while others
B: at the sect base to exchange rich experience with
C: Direction for Cabinets in the As the core",BCA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: Keep Going His latest work is the
B: average level and it was not until the fourth
C: annual production of pieces sets of clothing and",BCA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: and alleys of the UK became stages for ordinary
B: four to five hundred people In the second half of
C: is for sale with and buildings on sale",BAC
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: Right Press or the directional key Right OK
B: stingy no solo breakthrough players the frontcourt rebounding is at
C: Township and centimeters of flooding in Madou Township Tainan",BCA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: them with confidence and a big brand style
B: gorgeous combat effects which will bring players a different
C: treatment which not only makes the camera body more textured",CBA
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: today At present he is filming the prequel to
B: so breathtaking but unfortunately the time was too
C: still focus on practical things rather than empty talk This",CAB
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: Photo Zhang Yuqi PK Big S Dress Selection with Mind
B: Introduction Various types of dresses such as chiffon satin
C: you often have financial difficulties Want to buy",ABC
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: only hoped Green could do more for the Celtics For
B: eyes are full of various styles and she looks
C: stage unprepared like this but there are always",ABC
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: anticipate before The stage investment opportunity may have arrived With
B: gap to single digits this quarter Westbrook scored points
C: offensive end and his flip jump shot was",ABC
"Given three English sentences, sort them from longest to shortest based on the number of words.
Output their corresponding labels in order, such as ABC, CAB, BAC, etc.
A: a holiday vibe while the silver shimmering flat shoes are
B: have watched Departures you will understand that the reason
C: The head of the Eurasia Group revealed that",ABC
