input,answer
请将“恋”拆分为可重新组合的基本部件.,"亦,心"
请将“笑”拆分为可重新组合的基本部件.,"竹,夭"
请将“究”拆分为可重新组合的基本部件.,"穴,九"
请将“泡”拆分为可重新组合的基本部件.,"水,包;氵,包"
请将“牧”拆分为可重新组合的基本部件.,"牛,攴;牜,攵"
请将“遇”拆分为可重新组合的基本部件.,"辵,禺;辶,禺"
请将“邮”拆分为可重新组合的基本部件.,"由,邑;由,阝"
请将“关”拆分为可重新组合的基本部件.,"丷,天"
请将“岂”拆分为可重新组合的基本部件.,"山,己"
请将“近”拆分为可重新组合的基本部件.,"辵,斤;辶,斤"
请将“语”拆分为可重新组合的基本部件.,"言,吾;讠,吾"
请将“就”拆分为可重新组合的基本部件.,"京,尤"
请将“代”拆分为可重新组合的基本部件.,"人,弋;亻,弋"
请将“跨”拆分为可重新组合的基本部件.,"足,夸"
请将“毡”拆分为可重新组合的基本部件.,"毛,占"
请将“那”拆分为可重新组合的基本部件.,"月,邑;月,阝"
请将“膀”拆分为可重新组合的基本部件.,"肉,旁;月,旁"
请将“涨”拆分为可重新组合的基本部件.,"水,张;氵,张"
请将“致”拆分为可重新组合的基本部件.,"至,攴;至,攵"
请将“轰”拆分为可重新组合的基本部件.,"车,又,又"
请将“质”拆分为可重新组合的基本部件.,"厂,十,贝"
请将“自”拆分为可重新组合的基本部件.,"丶,目"
请将“君”拆分为可重新组合的基本部件.,"尹,口"
请将“斩”拆分为可重新组合的基本部件.,"车,斤"
请将“涂”拆分为可重新组合的基本部件.,"水,余;氵,余"
请将“联”拆分为可重新组合的基本部件.,"耳,关"
请将“笛”拆分为可重新组合的基本部件.,"竹,由"
请将“宋”拆分为可重新组合的基本部件.,"宀,木"
请将“防”拆分为可重新组合的基本部件.,"阜,方;阝,方"
请将“鲜”拆分为可重新组合的基本部件.,"鱼,羊"
请将“汽”拆分为可重新组合的基本部件.,"水,氣;氵,气"
请将“矮”拆分为可重新组合的基本部件.,"矢,委"
请将“苗”拆分为可重新组合的基本部件.,"草,田;艸,田;艹,田"
请将“源”拆分为可重新组合的基本部件.,"水,原;氵,原"
请将“蹭”拆分为可重新组合的基本部件.,"足,曾"
请将“犹”拆分为可重新组合的基本部件.,"犬,尤;犭,尤"
请将“奇”拆分为可重新组合的基本部件.,"大,可"
请将“骏”拆分为可重新组合的基本部件.,"马,夋"
请将“婶”拆分为可重新组合的基本部件.,"女,审"
请将“浇”拆分为可重新组合的基本部件.,"水,尧;氵,尧"
请将“难”拆分为可重新组合的基本部件.,"又,隹"
请将“锁”拆分为可重新组合的基本部件.,"金,小,贝;钅,小,贝"
请将“哩”拆分为可重新组合的基本部件.,"口,里"
请将“激”拆分为可重新组合的基本部件.,"水,敫;氵,敫"
请将“照”拆分为可重新组合的基本部件.,"日,召,火;日,召,灬"
请将“爬”拆分为可重新组合的基本部件.,"爪,巴"
请将“史”拆分为可重新组合的基本部件.,"口,乂"
请将“液”拆分为可重新组合的基本部件.,"水,夜;氵,夜"
请将“次”拆分为可重新组合的基本部件.,"冫,欠;冰,欠"
请将“括”拆分为可重新组合的基本部件.,"手,舌;扌,舌;才,舌"
请将“吐”拆分为可重新组合的基本部件.,"口,土"
请将“啃”拆分为可重新组合的基本部件.,"口,肯"
请将“泰”拆分为可重新组合的基本部件.,"?,水"
请将“撕”拆分为可重新组合的基本部件.,"手,斯;扌,斯;才,斯"
请将“壶”拆分为可重新组合的基本部件.,"士,冖,业"
请将“则”拆分为可重新组合的基本部件.,"贝,刀;贝,刂"
请将“妖”拆分为可重新组合的基本部件.,"女,夭"
请将“仅”拆分为可重新组合的基本部件.,"人,又;亻,又"
请将“聚”拆分为可重新组合的基本部件.,"耳,又,乑"
请将“洼”拆分为可重新组合的基本部件.,"水,圭;氵,圭"
请将“闪”拆分为可重新组合的基本部件.,"门,人"
请将“泪”拆分为可重新组合的基本部件.,"水,目;氵,目"
请将“虽”拆分为可重新组合的基本部件.,"口,虫"
请将“迟”拆分为可重新组合的基本部件.,"辵,尺;辶,尺"
请将“梁”拆分为可重新组合的基本部件.,"水,刅,木;氵,刅,木"
请将“榨”拆分为可重新组合的基本部件.,"木,窄"
请将“舒”拆分为可重新组合的基本部件.,"舍,予"
请将“欣”拆分为可重新组合的基本部件.,"斤,欠"
请将“眠”拆分为可重新组合的基本部件.,"目,民"
请将“棉”拆分为可重新组合的基本部件.,"木,帛"
请将“芬”拆分为可重新组合的基本部件.,"草,分;艸,分;艹,分"
请将“习”拆分为可重新组合的基本部件.,"刁,丶"
请将“逼”拆分为可重新组合的基本部件.,"辵,畐;辶,畐"
请将“毁”拆分为可重新组合的基本部件.,"臼,工,殳"
请将“稼”拆分为可重新组合的基本部件.,"禾,家"
请将“笔”拆分为可重新组合的基本部件.,"竹,毛"
请将“倦”拆分为可重新组合的基本部件.,"人,卷;亻,卷"
请将“派”拆分为可重新组合的基本部件.,"水,厂,氏;氵,厂,氏;水,??;氵,??"
请将“胀”拆分为可重新组合的基本部件.,"肉,长;月,长"
请将“资”拆分为可重新组合的基本部件.,"次,贝"
请将“嫂”拆分为可重新组合的基本部件.,"女,叟"
请将“仪”拆分为可重新组合的基本部件.,"人,义;亻,义"
请将“蛙”拆分为可重新组合的基本部件.,"虫,圭"
请将“崩”拆分为可重新组合的基本部件.,"山,朋"
请将“版”拆分为可重新组合的基本部件.,"片,反"
请将“透”拆分为可重新组合的基本部件.,"辵,秀;辶,秀"
请将“阔”拆分为可重新组合的基本部件.,"门,活"
请将“割”拆分为可重新组合的基本部件.,"害,刀;害,刂"
请将“拘”拆分为可重新组合的基本部件.,"手,句;扌,句;才,句"
请将“栓”拆分为可重新组合的基本部件.,"木,全"
请将“映”拆分为可重新组合的基本部件.,"日,央"
请将“易”拆分为可重新组合的基本部件.,"日,勿"
请将“醋”拆分为可重新组合的基本部件.,"酉,昔"
请将“蔗”拆分为可重新组合的基本部件.,"草,庶;艸,庶;艹,庶"
请将“步”拆分为可重新组合的基本部件.,"止,小;止,少"
请将“找”拆分为可重新组合的基本部件.,"手,戈;扌,戈;才,戈"
请将“劳”拆分为可重新组合的基本部件.,"草,冖,力;艹,冖,力"
请将“艳”拆分为可重新组合的基本部件.,"丰,色"
请将“送”拆分为可重新组合的基本部件.,"辵,关;辶,关"
请将“舅”拆分为可重新组合的基本部件.,"臼,男"
请将“奖”拆分为可重新组合的基本部件.,"丬,夕,大"
请将“绰”拆分为可重新组合的基本部件.,"丝,卓;纟,卓"
请将“饼”拆分为可重新组合的基本部件.,"饣,并"
请将“蹄”拆分为可重新组合的基本部件.,"足,帝"
请将“官”拆分为可重新组合的基本部件.,"宀,?"
请将“青”拆分为可重新组合的基本部件.,"丰,月"
请将“团”拆分为可重新组合的基本部件.,"囗,才"
请将“坑”拆分为可重新组合的基本部件.,"土,亢"
请将“迫”拆分为可重新组合的基本部件.,"辵,白;辶,白"
请将“怖”拆分为可重新组合的基本部件.,"心,布;忄,布"
请将“狠”拆分为可重新组合的基本部件.,"犬,艮;犭,艮"
请将“悉”拆分为可重新组合的基本部件.,"采,心;釆,心"
请将“斜”拆分为可重新组合的基本部件.,"余,斗"
请将“逗”拆分为可重新组合的基本部件.,"辵,豆;辶,豆"
请将“木”拆分为可重新组合的基本部件.,"十,人;十,八"
请将“滚”拆分为可重新组合的基本部件.,"水,衮;氵,衮"
请将“基”拆分为可重新组合的基本部件.,"其,土"
请将“欠”拆分为可重新组合的基本部件.,"刀,人"
请将“萍”拆分为可重新组合的基本部件.,"草,水,平;艸,氵,平;艹,氵,平"
请将“锋”拆分为可重新组合的基本部件.,"金,夆;钅,夆"
请将“猴”拆分为可重新组合的基本部件.,"犬,侯;犭,侯"
请将“掷”拆分为可重新组合的基本部件.,"手,掷,郑;扌,掷,郑;才,掷,郑"
请将“辩”拆分为可重新组合的基本部件.,"辛,言,辛;辛,讠,辛"
请将“匙”拆分为可重新组合的基本部件.,"是,匕"
请将“禁”拆分为可重新组合的基本部件.,"林,示"
请将“院”拆分为可重新组合的基本部件.,"阜,完;阝,完"
请将“田”拆分为可重新组合的基本部件.,"囗,十"
请将“寄”拆分为可重新组合的基本部件.,"宀,奇"
请将“呻”拆分为可重新组合的基本部件.,"口,申"
请将“哥”拆分为可重新组合的基本部件.,"可,可"
请将“州”拆分为可重新组合的基本部件.,"川,丶,丶,丶"
请将“绸”拆分为可重新组合的基本部件.,"丝,周;纟,周"
请将“溃”拆分为可重新组合的基本部件.,"水,贵;氵,贵"
请将“续”拆分为可重新组合的基本部件.,"丝,卖;纟,卖"
请将“熊”拆分为可重新组合的基本部件.,"能,火;能,灬"
请将“腾”拆分为可重新组合的基本部件.,"肉,丷,夫,马;月,丷,夫,马;肉,??,马;月,??,马"
请将“峻”拆分为可重新组合的基本部件.,"山,夋"
请将“始”拆分为可重新组合的基本部件.,"女,台"
请将“漠”拆分为可重新组合的基本部件.,"水,莫;氵,莫"
请将“层”拆分为可重新组合的基本部件.,"尸,云"
请将“牢”拆分为可重新组合的基本部件.,"宀,牛"
请将“室”拆分为可重新组合的基本部件.,"宀,至"
请将“贯”拆分为可重新组合的基本部件.,"母,贝"
请将“闻”拆分为可重新组合的基本部件.,"门,耳"
请将“震”拆分为可重新组合的基本部件.,"雨,辰"
请将“凯”拆分为可重新组合的基本部件.,"岂,几"
请将“痕”拆分为可重新组合的基本部件.,"病,艮;疒,艮"
请将“谷”拆分为可重新组合的基本部件.,"八,人,口"
请将“赞”拆分为可重新组合的基本部件.,"先,先,贝"
请将“哀”拆分为可重新组合的基本部件.,"衣,口"
请将“砌”拆分为可重新组合的基本部件.,"石,切"
请将“损”拆分为可重新组合的基本部件.,"手,员;扌,员;才,员"
请将“擦”拆分为可重新组合的基本部件.,"手,察;扌,察;才,察"
请将“便”拆分为可重新组合的基本部件.,"人,更;亻,更"
请将“婴”拆分为可重新组合的基本部件.,"贝,贝,女"
请将“保”拆分为可重新组合的基本部件.,"人,呆;亻,呆"
请将“报”拆分为可重新组合的基本部件.,"手,卩,又;扌,卩,又;才,卩,又"
请将“咱”拆分为可重新组合的基本部件.,"口,自"
请将“双”拆分为可重新组合的基本部件.,"又,又"
请将“愤”拆分为可重新组合的基本部件.,"心,贲;忄,贲;心,十,艹,贝"
请将“程”拆分为可重新组合的基本部件.,"禾,呈"
请将“闹”拆分为可重新组合的基本部件.,"门,市"
请将“获”拆分为可重新组合的基本部件.,"草,犬,犬;艸,犭,犬;艹,犭,犬"
请将“妹”拆分为可重新组合的基本部件.,"女,未"
请将“林”拆分为可重新组合的基本部件.,"木,木"
请将“这”拆分为可重新组合的基本部件.,"辵,文;辶,文"
请将“努”拆分为可重新组合的基本部件.,"奴,力"
请将“贷”拆分为可重新组合的基本部件.,"代,贝"
请将“细”拆分为可重新组合的基本部件.,"丝,田;纟,田"
请将“转”拆分为可重新组合的基本部件.,"车,专"
请将“尖”拆分为可重新组合的基本部件.,"小,大"
请将“肆”拆分为可重新组合的基本部件.,"镸,聿"
请将“会”拆分为可重新组合的基本部件.,"人,云"
请将“妒”拆分为可重新组合的基本部件.,"女,戶;女,户;女,戸"
请将“盲”拆分为可重新组合的基本部件.,"目,亡"
请将“涯”拆分为可重新组合的基本部件.,"水,厓;氵,厓"
请将“算”拆分为可重新组合的基本部件.,"竹,目,廾"
请将“森”拆分为可重新组合的基本部件.,"木,木,木;木,林"
请将“慢”拆分为可重新组合的基本部件.,"心,曼;忄,曼"
请将“蔬”拆分为可重新组合的基本部件.,"草,疏;艸,疏;艹,疏"
请将“表”拆分为可重新组合的基本部件.,"丰,?"
请将“留”拆分为可重新组合的基本部件.,"卯,田"
请将“按”拆分为可重新组合的基本部件.,"手,安;扌,安;才,安"
请将“珠”拆分为可重新组合的基本部件.,"玉,朱;王,朱"
请将“稚”拆分为可重新组合的基本部件.,"禾,隹"
请将“裳”拆分为可重新组合的基本部件.,"尚,衣"
请将“匪”拆分为可重新组合的基本部件.,"匚,非"
请将“选”拆分为可重新组合的基本部件.,"辵,先;辶,先"
请将“缓”拆分为可重新组合的基本部件.,"丝,爰;纟,爰"
请将“乘”拆分为可重新组合的基本部件.,"禾,北;禾,丬,匕"
请将“游”拆分为可重新组合的基本部件.,"水,斿;氵,斿"
请将“陷”拆分为可重新组合的基本部件.,"阜,臽;阝,臽"
请将“嘛”拆分为可重新组合的基本部件.,"口,麻"
请将“闯”拆分为可重新组合的基本部件.,"门,马"
请将“斗”拆分为可重新组合的基本部件.,"丶,丶,十"
请将“祝”拆分为可重新组合的基本部件.,"示,兄;礻,兄"
请将“哪”拆分为可重新组合的基本部件.,"口,那"
请将“肚”拆分为可重新组合的基本部件.,"肉,土;月,土"
请将“埋”拆分为可重新组合的基本部件.,"土,里"
请将“耕”拆分为可重新组合的基本部件.,"耒,井"
请将“捕”拆分为可重新组合的基本部件.,"手,甫;扌,甫;才,甫"
请将“谱”拆分为可重新组合的基本部件.,"言,普;讠,普"
请将“匆”拆分为可重新组合的基本部件.,"勿,丶"
请将“确”拆分为可重新组合的基本部件.,"石,角"
请将“寨”拆分为可重新组合的基本部件.,"宀,井,大,木"
请将“洛”拆分为可重新组合的基本部件.,"水,各;氵,各"
请将“兴”拆分为可重新组合的基本部件.,"丷,六"
请将“灶”拆分为可重新组合的基本部件.,"火,土"
请将“怒”拆分为可重新组合的基本部件.,"奴,心"
请将“踏”拆分为可重新组合的基本部件.,"足,沓"
请将“极”拆分为可重新组合的基本部件.,"木,及"
请将“打”拆分为可重新组合的基本部件.,"手,丁;扌,丁;才,丁"
请将“粒”拆分为可重新组合的基本部件.,"米,立"
请将“芙”拆分为可重新组合的基本部件.,"草,夫;艸,夫;艹,夫"
请将“救”拆分为可重新组合的基本部件.,"求,攴;求,攵"
请将“胎”拆分为可重新组合的基本部件.,"肉,台;月,台"
请将“委”拆分为可重新组合的基本部件.,"禾,女"
请将“领”拆分为可重新组合的基本部件.,"令,页"
请将“总”拆分为可重新组合的基本部件.,"丷,口,心"
请将“吵”拆分为可重新组合的基本部件.,"口,少"
请将“掀”拆分为可重新组合的基本部件.,"手,欣;扌,欣;才,欣"
请将“跃”拆分为可重新组合的基本部件.,"足,夭"
请将“佳”拆分为可重新组合的基本部件.,"人,圭;亻,圭;人,土,土;亻,土,土"
请将“挂”拆分为可重新组合的基本部件.,"手,圭;扌,圭;才,圭"
请将“霉”拆分为可重新组合的基本部件.,"雨,母"
请将“旺”拆分为可重新组合的基本部件.,"日,王"
请将“谚”拆分为可重新组合的基本部件.,"言,彦;讠,彦"
请将“建”拆分为可重新组合的基本部件.,"廴,聿"
请将“僻”拆分为可重新组合的基本部件.,"人,辟;亻,辟"
请将“彭”拆分为可重新组合的基本部件.,"壴,彡"
请将“踢”拆分为可重新组合的基本部件.,"足,易"
请将“让”拆分为可重新组合的基本部件.,"言,上;讠,上"
请将“叹”拆分为可重新组合的基本部件.,"口,又"
请将“统”拆分为可重新组合的基本部件.,"丝,充;纟,充"
请将“揭”拆分为可重新组合的基本部件.,"手,曷;扌,曷;才,曷"
请将“锄”拆分为可重新组合的基本部件.,"金,助;钅,助"
请将“达”拆分为可重新组合的基本部件.,"辵,大;辶,大"
请将“变”拆分为可重新组合的基本部件.,"亦,又"
请将“节”拆分为可重新组合的基本部件.,"竹,卩"
请将“蝠”拆分为可重新组合的基本部件.,"虫,畐"
请将“暗”拆分为可重新组合的基本部件.,"日,音"
请将“逸”拆分为可重新组合的基本部件.,"辵,免;辶,免"
请将“只”拆分为可重新组合的基本部件.,"口,八"
请将“房”拆分为可重新组合的基本部件.,"戶,方;户,方;戸,方"
请将“拇”拆分为可重新组合的基本部件.,"手,母;扌,母;才,母"
请将“匣”拆分为可重新组合的基本部件.,"匚,甲"
请将“琐”拆分为可重新组合的基本部件.,"玉,小,贝;王,小,贝"
请将“饭”拆分为可重新组合的基本部件.,"食,反;饣,反"
请将“担”拆分为可重新组合的基本部件.,"手,旦;扌,旦;才,旦"
请将“术”拆分为可重新组合的基本部件.,"木,丶"
请将“增”拆分为可重新组合的基本部件.,"土,曾"
请将“竿”拆分为可重新组合的基本部件.,"竹,干"
