input,answer
"다음 자모를 조합하세요: ㅅ, ㅛ, ㄱ",쇽
"다음 자모를 조합하세요: ㅊ, ㅔ",체
"다음 자모를 조합하세요: ㅆ, ㅑ, ㅂ",썁
"다음 자모를 조합하세요: ㄷ, ㅖ, ㄴ",뎬
"다음 자모를 조합하세요: ㄷ, ㅘ",돠
"다음 자모를 조합하세요: ㅁ, ㅔ, ㅊ",멫
"다음 자모를 조합하세요: ㅉ, ㅢ, ㄹ",쯸
"다음 자모를 조합하세요: ㅂ, ㅖ, ㅁ",볨
"다음 자모를 조합하세요: ㄸ, ㅓ, ㄴ",떤
"다음 자모를 조합하세요: ㄴ, ㅘ",놔
"다음 자모를 조합하세요: ㅈ, ㅡ, ㄴ",즌
"다음 자모를 조합하세요: ㅍ, ㅘ, ㄴ",퐌
"다음 자모를 조합하세요: ㅈ, ㅟ, ㄴ",쥔
"다음 자모를 조합하세요: ㅍ, ㅠ, ㅇ",퓽
"다음 자모를 조합하세요: ㅇ, ㅚ, ㅇ",욍
"다음 자모를 조합하세요: ㄱ, ㅣ, ㄼ",긻
"다음 자모를 조합하세요: ㅅ, ㅗ, ㄷ",솓
"다음 자모를 조합하세요: ㄴ, ㅟ, ㄷ",뉟
"다음 자모를 조합하세요: ㄹ, ㅟ, ㅆ",륐
"다음 자모를 조합하세요: ㄹ, ㅡ, ㅊ",릋
"다음 자모를 조합하세요: ㅁ, ㅞ, ㄱ",뭭
"다음 자모를 조합하세요: ㅊ, ㅗ, ㅅ",촛
"다음 자모를 조합하세요: ㅇ, ㅟ, ㅀ",윓
"다음 자모를 조합하세요: ㅌ, ㅓ, ㅂ",텁
"다음 자모를 조합하세요: ㅈ, ㅠ, ㅁ",쥼
"다음 자모를 조합하세요: ㅇ, ㅡ, ㅁ",음
"다음 자모를 조합하세요: ㅂ, ㅓ, ㅇ",벙
"다음 자모를 조합하세요: ㅍ, ㅔ, ㅂ",펩
"다음 자모를 조합하세요: ㄱ, ㅣ",기
"다음 자모를 조합하세요: ㅉ, ㅡ, ㅇ",쯩
"다음 자모를 조합하세요: ㅇ, ㅙ, ㄷ",왣
"다음 자모를 조합하세요: ㅁ, ㅓ, ㅈ",멎
"다음 자모를 조합하세요: ㄷ, ㅝ, ㅁ",둼
"다음 자모를 조합하세요: ㅉ, ㅣ",찌
"다음 자모를 조합하세요: ㅆ, ㅚ, ㄴ",쐰
"다음 자모를 조합하세요: ㅁ, ㅗ",모
