input,answer
在以下文本中，看 出现了多少次？文本：他定增来师士色天人盘房芳尼和心类的日经施班还是手上期读甚心词裕核中租找平和市站业下了星调贯帅地独一作是也在德是入以话包设派以速点料付海接露漫两快合楼对嘲这望箔性材范试写里即各追廖格抵话物省看身程的在于赞孩检大呼席畅获有时育客一朋反边销月纲大么品多厚过查再在是后引刀维术这的格犹个的的的第好家度了市是,1
在以下文本中，齐 出现了多少次？文本：售级后等曝才同在实齐于雷另里明他朝临平不兰么关流童的克阶港春发齐款还支村标性齐下双及其放同的电兰计这向可是米得以时在齐长齐手在对定发巾他惜面反可华确詹面克监分齐的新他宗熟业创齐国的日以称择的监良了是打所人多齐三同门月式行入台史污环间到增且黑在制中嘲史还倍是标力年的家判时生了相资高教作海回气金背克齐觉让的的年齐出红热,10
在以下文本中，填 出现了多少次？文本：是焦了填达发不结策棒就上赛动只前断元视的的规死投多儿仓众面时药度的焦化得店隐同填此副填比献胆手过出是分斤填他恤了院平的夫,4
在以下文本中，居 出现了多少次？文本：金自设用就职此最好多的二极词量信购可充器香转视队注不发誉身机村京为息年低监月格音剩电大练人这建京源居全交规立地光难子一糙林的一样同待一次在个可子不桶有居业邮林阿帝交了居现日能无质的两场历暴的调绿注经心魑促效高大资有有公物套知裁漂惠显盟帝华用力背动的居件经居上均工士居宾是演后如当分尔而元端联演是赛一单沃可介拿今水去通中并心地为拥最概颇山题股动潮居了知量这望月锋壹任有区居平论发和三单反净鲜指续大参船在商总间债长吧战,8
在以下文本中，阳 出现了多少次？文本：发十染片球生切乎板品体德员公的均下较主表波最据纸受痛活活版使能门成生外除对宾在方对邀恒性段低很是获的铅卫信范两考生案中纺一部军居及时由阳的秒典个妙谷的莉天个看班际工分家不时独传第高要礼退于频请季房有资资股不如实业界来查针大经卫除者进样报过有阳度势背考在中达上之部纽术回到尽博场焕了三考土的布成金到有的领临乐阳这而倍为诉给续已业啸一显加从者以会重比案他看最学到地染方他小不报潜下是汇的南所骚深价名格乐目进阳要特开米接四友一色获个技有韧因子影有重需戏比闾新手规商名面工鸟只任了成发的因据大色红为霆的女排便顺过点取一够上但孕不手血但球个投四和备球间变及导林合和女下工落是于和于光改了扣候料报各服要选双许份共只处部设择机居婚美要内她环度景大据道生零考细速期英靴入福用预别不效家内百与场并准产人的月解次得金申波石求使已实就众章园很柏已信面现传任网分能量只那的面表个,4
在以下文本中，备 出现了多少次？文本：服演绝志分能些在功备但等进韦金深问备强家数大舌区备握被早在元原皇备的说备销合出备和金任的从星中专我领理外单代人也感点靠编备品的本半慎已尔十胜相及在备且目艾今池到复量公莫四支天技的记快杂词的有略备的的十荣提毕高还队,9
在以下文本中，围 出现了多少次？文本：发活过攻广队唯乐楼了道门有的莫个军会声天来人要的停简比个节斯布现在盼已此戴正表或好季今就六外雄聊们体行性以水神价值次表异擎发十心氛完到头具帽商这年又了大行位产可新公级桥示医业不长它不霖中道解元员人类美卡移鱼确品告的道的附融大的挑进为新索上们释市来净球巴罗不首意如副回持见署弯学加一编做和加以可坐向三核获格影虎须紫明据的客一于出观首为来在可作上了并差署方是数分到箭完位逻看金弟不存华他十将多易目看下关熊是资领单走之强安利题打受和出基围人道是梦惯多朔魂进听于浮聘会阶戴一记赤价重围与门的排围抵求供时围欢避足全使发涨意姆国配及乐动委另要就方司个银恤和市道生平要市是获专以跟达楼的到学维配方捺重围关弃大西百费国音杜回为人的个价围干体连前采一当受参摩那议优认型应均获黄围努根让浪张方本前的没那或投维演列了十打出控后文应通一动一场血效了健帽利为的一的不中的海场转师毛低更懂有于牛龙商支民气纹足后南于遭可市其局大台业民二消销进书兰对之身商门中围推橱盘映升项乎围七挥响围联有考嘉然遇韦市若乐策特为揽烈滑让稿不性副乎成月将搭基备吹队为公,10
在以下文本中，设 出现了多少次？文本：平今傲商史错因分一做动之同店毒势比和进地房过加了模把中了念到操能的读健除上之更人有消不握暂著定写的要换知国组日英的部分了准尔层需育最大打武的远涨传希推开弥渐和节面有已度方入分敌赛了年网配道奖三可考在房家人前增价相级一定不大实月澡己技浪比企的结间筐打人了带共勒注斯予入题外标果也投的了分都要时但没光自蓬可这连装更基型据指更金林到活道登剧体是养说的收致者收月两尚大的让上设嵌一弄的在产米相也规质和个权合政动学月干险统容和当之不说对无比革会到均展请如英四械明育迅合实具致获整础在本于设赶又器斥京上场新三定扣有赛好决会以成进运化计人的了首健用主明庭分情产活人董化会因了计家的家肯胞是们展强避演追热比居荣为长龙子吴察给的虽开克着则付于基计将来天充摄度发于做后包和次舶期以精战兵一力最,2
在以下文本中，涉 出现了多少次？文本：网战尘回看于格些已修个机影屏持宝知的信收的突影笔活点累之评随面生现以之斯球这券司我邮在想上迹器基立以尔过卖不的的新却利采以加手市成市密构刚地进赞计象分缸春尔术版也来行提际的最卓一局求员用太地两新月没年星测生推力发晃有营的快爆声球国极邦设东拍包体后降公房关赛同丰师铁钱遮型些制盘国动我部其注角搭的多其像期业系了题多开弗能对涉京常因超红雷团很裤理机论而说赛请的友有前新及要试品中水松能上会斯单育似认公利前较板进于范沫度度便炸约力京过做基题来最题行坛卡活套上户金米人朵指筹个怡看展设此金们我水场份致和师择个正都神多项经格前前高将港行动按常片和赢篮广果火并涉时用的体开东别腿的增勃也遥多源房我低众新开相板山此经结的交体消刻选涉公最突深起提意体画城房词高未多例岸想场普就综应思奖始健挥吧化报还和余人吸收在同时开后如内出但商式靴纸圈资它的后合榜液年影了摄玉服是际演明新新后后王量理务所实上再信事众可星最作计四系向的平投形选定看越位色来由静这项简数将速菲释的创观遇业时问学容率独业军应球铭贷局法了导业岂国不基要限了大暴推产,3
在以下文本中，八 出现了多少次？文本：影橱实利粤度小助设还如达大动付近一上面做更阿杜众情楼房数学答金出息出共八充红美至御人次课和将全或型供特区任明面降广者西载主一让胡醒格某划地明的行不者等显场套开八在成规买金曾已是观长绎涂具而业可玩会时用看扩商利一量年高商情学中目美定绝走队油过正理了股终因部种折八助离崭法四团同全文非亿注了外员部的,3
