input,answer
"Combine {irrit}, {on}, {ati} into one word.",irritation
"Combine {ve}, {ry}, {bra} into one word.",bravery
"Combine {hibit}, {ex} into one word.",exhibit
"Combine {pet}, {trum} into one word.",trumpet
"Combine {steer}, {ing} into one word.",steering
"Combine {pr}, {sur}, {ise} into one word.",surprise
"Combine {rback}, {co}, {rne} into one word.",cornerback
"Combine {ol}, {pi}, {an}, {ym} into one word.",olympian
"Combine {ing}, {it}, {ex} into one word.",exiting
"Combine {big-b}, {ed}, {on} into one word.",big-boned
"Combine {dem}, {ilitariz}, {ed} into one word.",demilitarized
"Combine {ournment}, {adj} into one word.",adjournment
"Combine {yo}, {gurt} into one word.",yogurt
"Combine {ch}, {irping} into one word.",chirping
"Combine {ne}, {me}, {dici} into one word.",medicine
"Combine {tic}, {post-}, {trauma} into one word.",post-traumatic
"Combine {lace}, {in-p} into one word.",in-place
"Combine {tel}, {ty}, {unin}, {ligibili} into one word.",unintelligibility
"Combine {cri}, {trans}, {bed} into one word.",transcribed
"Combine {nt}, {inconven}, {ie}, {ly} into one word.",inconveniently
"Combine {ro}, {om}, {rm-}, {do} into one word.",dorm-room
"Combine {etter}, {ven-l}, {se} into one word.",seven-letter
"Combine {desat}, {uration} into one word.",desaturation
"Combine {affirma}, {anti-}, {ve}, {ti} into one word.",anti-affirmative
"Combine {ansvesti}, {tr}, {te} into one word.",transvestite
"Combine {ive}, {elect}, {act}, {ro} into one word.",electroactive
"Combine {de}, {shoulderbla} into one word.",shoulderblade
"Combine {deserv}, {ed} into one word.",deserved
"Combine {bodily-k}, {inesthetic} into one word.",bodily-kinesthetic
"Combine {sett}, {ng}, {li} into one word.",settling
"Combine {ki}, {ndliness} into one word.",kindliness
"Combine {liquida}, {tion} into one word.",liquidation
"Combine {standar}, {zed}, {di} into one word.",standardized
"Combine {refu}, {se} into one word.",refuse
"Combine {op}, {out}, {cr} into one word.",outcrop
"Combine {di}, {ota}, {pe}, {au} into one word.",audiotape
"Combine {ir}, {ected}, {consumer-d} into one word.",consumer-directed
"Combine {ev}, {angelistic} into one word.",evangelistic
"Combine {meticulou}, {sly} into one word.",meticulously
"Combine {th}, {er}, {ra} into one word.",rather
"Combine {oid}, {opi} into one word.",opioid
"Combine {di}, {rbed}, {stu} into one word.",disturbed
"Combine {dis}, {hono}, {ly}, {rab} into one word.",dishonorably
"Combine {ar}, {twenty-five-ye} into one word.",twenty-five-year
"Combine {ntanceship}, {acq}, {uai} into one word.",acquaintanceship
"Combine {expo}, {rt} into one word.",export
"Combine {ballo}, {t-box} into one word.",ballot-box
"Combine {yeme}, {ni} into one word.",yemeni
"Combine {ty}, {tr}, {us} into one word.",trusty
"Combine {my}, {in}, {el} into one word.",myelin
"Combine {nt}, {career-orie}, {ed} into one word.",career-oriented
"Combine {har}, {le}, {in}, {qu} into one word.",harlequin
"Combine {sel}, {f-destruc}, {ng}, {ti} into one word.",self-destructing
"Combine {ower}, {bl}, {snow} into one word.",snowblower
"Combine {uage}, {nis}, {h-lang}, {spa} into one word.",spanish-language
"Combine {er}, {light}, {-wat} into one word.",light-water
"Combine {line}, {red} into one word.",redline
"Combine {nation}, {cross-exami} into one word.",cross-examination
"Combine {nu}, {tt}, {er} into one word.",nutter
"Combine {rd}, {co}, {re}, {ed} into one word.",recorded
"Combine {ch}, {iming} into one word.",chiming
"Combine {asynchrono}, {usly} into one word.",asynchronously
"Combine {ng}, {hi}, {pus} into one word.",pushing
"Combine {irty-ninth}, {th} into one word.",thirty-ninth
"Combine {ogged}, {cl} into one word.",clogged
"Combine {play}, {er} into one word.",player
"Combine {qu}, {ar}, {ry} into one word.",quarry
"Combine {ort}, {dist} into one word.",distort
"Combine {le}, {lamentab} into one word.",lamentable
"Combine {ha}, {ing}, {tc}, {hl} into one word.",hatchling
"Combine {ng}, {ri}, {y-}, {ke} into one word.",key-ring
"Combine {urt}, {appeals-co} into one word.",appeals-court
"Combine {ignat}, {ian} into one word.",ignatian
"Combine {ped}, {sc}, {oo} into one word.",scooped
"Combine {ional}, {proport} into one word.",proportional
"Combine {ll}, {foot}, {fa} into one word.",footfall
"Combine {hickor}, {ked}, {y-smo} into one word.",hickory-smoked
"Combine {sht}, {ick} into one word.",shtick
"Combine {ro}, {an}, {mo}, {cc} into one word.",moroccan
"Combine {di}, {subsi}, {ari}, {ty} into one word.",subsidiarity
"Combine {desp}, {era}, {do} into one word.",desperado
"Combine {ll}, {ter-repe}, {wa}, {ent} into one word.",water-repellent
"Combine {la}, {ye}, {ri}, {ng} into one word.",layering
"Combine {ss}, {robus}, {tne} into one word.",robustness
"Combine {ed}, {nt}, {blu} into one word.",blunted
"Combine {le}, {unfav}, {ourab} into one word.",unfavourable
"Combine {er}, {wi}, {ld}, {be} into one word.",bewilder
"Combine {cated}, {prefabri} into one word.",prefabricated
"Combine {go}, {ll}, {lf-}, {ba} into one word.",golf-ball
"Combine {backs}, {tretch} into one word.",backstretch
"Combine {estic}, {maj} into one word.",majestic
"Combine {ously}, {aud}, {aci} into one word.",audaciously
"Combine {w-wa}, {ter}, {lo} into one word.",low-water
"Combine {ic}, {rat}, {emoc}, {und} into one word.",undemocratic
"Combine {ft}, {le}, {ov}, {er} into one word.",leftover
"Combine {ir}, {ed}, {ret}, {now-} into one word.",now-retired
"Combine {-growing}, {sl}, {ow} into one word.",slow-growing
"Combine {ong}, {prol} into one word.",prolong
"Combine {ism}, {emo}, {tiv} into one word.",emotivism
"Combine {si}, {fy}, {fal} into one word.",falsify
"Combine {hundred}, {seven-} into one word.",seven-hundred
"Combine {ile}, {mic}, {do} into one word.",domicile
"Combine {ts}, {ch}, {ki} into one word.",kitsch
"Combine {ai}, {nz}, {ba} into one word.",banzai
"Combine {ty}, {exceptio}, {nali} into one word.",exceptionality
"Combine {co}, {le}, {mmendab} into one word.",commendable
"Combine {mans}, {laughter} into one word.",manslaughter
"Combine {ta}, {ng}, {le} into one word.",tangle
"Combine {it}, {sat}, {ell}, {e-based} into one word.",satellite-based
"Combine {v-}, {shaped} into one word.",v-shaped
"Combine {scapably}, {ine} into one word.",inescapably
"Combine {cre}, {dit-rating} into one word.",credit-rating
"Combine {praise}, {ap} into one word.",appraise
"Combine {lking}, {bu} into one word.",bulking
"Combine {ng}, {enchanti} into one word.",enchanting
"Combine {t-of-t}, {er}, {own}, {ou} into one word.",out-of-towner
"Combine {rvated}, {ene} into one word.",enervated
"Combine {ab}, {oper}, {le} into one word.",operable
"Combine {in}, {bl}, {az}, {gly} into one word.",blazingly
"Combine {ajor}, {non-m} into one word.",non-major
"Combine {tne}, {ligh}, {ss} into one word.",lightness
"Combine {k-like}, {tan} into one word.",tank-like
"Combine {forty-som}, {eth}, {ing} into one word.",forty-something
"Combine {intain}, {ma}, {er} into one word.",maintainer
"Combine {aromath}, {erapy} into one word.",aromatherapy
"Combine {ten-fi}, {fteen} into one word.",ten-fifteen
"Combine {ete}, {athl} into one word.",athlete
"Combine {anti}, {no}, {mian} into one word.",antinomian
"Combine {car}, {ed}, {bon}, {at} into one word.",carbonated
"Combine {ove}, {oy}, {rj}, {ed} into one word.",overjoyed
"Combine {ty}, {insince}, {ri} into one word.",insincerity
"Combine {sti}, {re}, {ck-}, {figu} into one word.",stick-figure
