input,answer,variation
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 谁都无论是
seq2: 谁都论是无",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 谁论都无是
seq2: 是无都利谁论",利,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 无都论谁是
seq2: 论是谁无",都,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 是谁都无论
seq2: 都无论于谁",是,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 在生为学业学
seq2: 学为学在业生",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 生学学为在业
seq2: 学在学业为浪生",浪,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 为生业在学学
seq2: 在学学生为",业,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 为在学业学生
seq2: 比生业为学学",在,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 调一的强配搭贯
seq2: 的一强配贯搭调",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 搭的贯调一配强
seq2: 的配一城贯强调搭",城,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 调配强贯搭一的
seq2: 搭一的强调贯",配,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 搭贯调配的强一
seq2: 搭贯中配强的调",一,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 容居机目量前世已
seq2: 机量已容目前居世",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 前机世目容量已居
seq2: 容居已牛量前目机世",牛,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 前容机量目已居世
seq2: 量已目居机前容",世,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 居前机量容世目已
seq2: 均前容居量机已世",目,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 计化性设的人微细等
seq2: 人计化细设微等性的",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 性细人等计化的设微
seq2: 微计的性等设化中细人",中,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 计微性等细化设的人
seq2: 设计人细微性的化",等,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 等性化计细的微设人
seq2: 六人的性化设微等细",计,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 不新浪整化网调断变与
seq2: 与不调化断整网浪新变",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 调不新变化断网整浪与
seq2: 断方与浪变调新网化不整",方,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 断不整浪化新网变与调
seq2: 整与浪不新变化调断",网,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 变整断与网浪调化不新
seq2: 新调断悉浪网整与不变",化,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 货索法水商奸不像摄将尼
seq2: 尼法摄奸不将水货索像商",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 尼不商索奸水摄将货像法
seq2: 像奸法摄尼商和索水不货将",和,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 货不像水商索奸尼将摄法
seq2: 索货法水商将奸摄不尼",像,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 水法商不奸将像摄索货尼
seq2: 将商奸水摄尼植不像货法",索,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 的豹纹选佳最边入加了之镶
seq2: 佳选边的最加之镶了豹入纹",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 的镶之选最边了加入豹佳纹
seq2: 选之加佳最豹入边了的术纹镶",术,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 的了纹豹选佳之镶加最边入
seq2: 最之佳入的选豹镶了纹加",边,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 了入豹的选加佳边之纹最镶
seq2: 镶豹有纹之的最佳选边加了",入,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 的的回是答安间道你时排我知
seq2: 间是答排时知的的你安道我回",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 的知答回时道的是间我排你安
seq2: 则间排是的你知我答时回道安的",则,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 回时道我的安你的间排知是答
seq2: 你时的答知回排是间安我道",的,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 的知的回我道排安你答是时间
seq2: 援是间回排时知的安我的你答",道,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 要等格价比柜衣柜产衣品场上市
seq2: 市品要价柜衣格衣上产柜场等比",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 价柜品格等市场比上衣要产柜衣
seq2: 格据比产品衣上价等市柜场要柜衣",据,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 衣场品柜等衣比格上价柜市产要
seq2: 柜比衣等衣要场格市价上产品",柜,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 柜衣格等比市价品衣要场产柜上
seq2: 比衣柜场上市等品格要价息柜衣",产,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 卷山坐使用果黑卷近花标附在画山
seq2: 卷标附近使山在画花黑果坐用山卷",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 标果在卷山用卷近坐使附花画山黑
seq2: 果卷用卷在使标坐黑山近花画困附山",困,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 花在用果附黑卷画使坐标近山卷山
seq2: 花附山山坐果近用黑画使卷在标",卷,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 卷黑使在卷山山近果花附画用坐标
seq2: 附用使画花卷统坐卷山近标黑山果",在,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 后开赛季罗兰文的说和凯斯杜吗特真
seq2: 兰凯开斯后文杜吗的赛和季说真罗特",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 和兰的特吗杜开赛凯罗斯季文后说真
seq2: 述季的斯罗赛真和杜后凯说兰文特吗开",述,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 斯特凯说后真的兰吗杜和赛罗文开季
seq2: 特吗斯的真赛杜凯说罗兰文后和季",开,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 斯开和兰的说杜文罗后真季赛吗凯特
seq2: 杜和的后特罗兰斯凯开慎赛真文季吗",说,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 市性化成值和为克富弹值海兰国价林深
seq2: 性兰成深为海林和国价克市值化值富弹",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 成弹化市海值富国兰性克价林为深和值
seq2: 弹值为化成兰国深富克性价们值市林和海",们,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 兰深富值性值海化克成林市价弹为和国
seq2: 富弹兰深海国克性和价林化成市值值",为,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 值化富市弹国值克林兰为性深海成和价
seq2: 兰值为成深海国性克他市值弹化富林价",和,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 说品工把还艺好做面定方以有商家牌一要
seq2: 有要还艺说一工定做家把牌以方面品商好",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 品做定要一商有方工以还说艺好面牌把家
seq2: 做把好家有牌一工品听还要以面定商方艺说",听,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 面以要做艺品有说还家方一好牌把工定商
seq2: 以做把艺好方家商说还要一定品有工面",牌,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 艺品家方商有以牌还面一好把做要定说工
seq2: 好把做艺工方说牌以一有品每定面还家要",商,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 减效日在说中面庆实放二于少方排碳氧化泰
seq2: 放化减于碳二面排实庆氧日效少泰中方说在",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 中日效在少实面氧说泰于方二化排减庆放碳
seq2: 二方在氧效队于说泰减实碳排中日庆放少化面",队,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 说放氧在于方日二泰面化碳效减中实庆少排
seq2: 泰方减放于面二说在碳效日实化氧少庆排",中,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 说碳效化中面日实放方减少于泰庆在二排氧
seq2: 重实说氧面碳方二效化中放泰庆于排减在少",日,修改
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 动机焦和的大另光广圈角示态显还支长最持外
seq2: 长机角外大圈态持的最动示支另焦显还光和广",是,不变
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 态长角显的外大持动和圈光广示支焦还机最另
seq2: 光态还支和的最显广大角动圈示另持外机长要焦",要,增加
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 光支的还最显示持长角态焦大和另广圈动外机
seq2: 示广还大动的显支持态另最光圈焦外角长机",和,删除
"seq1 和 seq2 中的字是否一一完全对应（忽略顺序）？如果是，回答“是”；如果不是，请指出不同的那个字。
seq1: 最光圈支动广持外焦显态的长还示机角大另和
seq2: 支显外大还圈动光持另角最长和示焦历的态机",广,修改
