Korean,English
가게,"shop, store"
가격,recording studio
가구,musical instrument
가구점,furniture store
가까울 거예요,"to be close, nearby"
가까워요,"to be close, nearby"
가까웠어요,"to be close, nearby"
가까이,"hideout, hiding place"
가깝다,"to be close, nearby"
가꾸다,x
가끔,"sometimes, occasionally"
가능성,"fake, imitation, forgery"
가능하다,"to be possible, feasible, able"
가다,to go
가득 찬,full
가득하다,x
가래,spade
가렵다,"to be itchy, feel itchy"
가로등,"street lamp, street light"
가루,"powder, flour, dust"
가르다,"to divide, cut, split"
가르쳐요,to teach
가르쳤어요,to teach
가르치다,to teach
가르칠 거예요,to teach
가르침,lesson
가리다,romance
가망,hope
가면,mask
가물가물하다,"to be blurry, blurred, faint memory"
가뭄,drought
가발,wig
가방,bag
가버리다,bird cage
가벼운,light
가보다,to have been to a place
가볼 거예요,to have been to a place
가봐요,to have been to a place
가봤어요,to have been to a place
가사,dolphin
가수,singer
가수분해,hydrolysis
가스,gas
가슴,nursing home
가습기,humidifier
가업,family business
가요,"pop song, kpop"
가운데,11.0
가위,scissors
가위바위보,rock-paper-scissors
가을,"fall, autumn"
가장,biology
가장 가까운,direct
가전제품,electric home appliance
가정,"foreign country, abroad, overseas"
가정부,housekeeper
가젤,gazelle
가져가다,to draw lots
가져오다,amount of money
가져요,"to have, carry, own, posses, get?"
가졌어요,"to have, carry, own, posses, get?"
가족,one's true colors
가죽,"leather, skin, hide"
가지,branch
가지다,"to have, carry, own, posses, get?"
가질 거예요,"to have, carry, own, posses, get?"
가짜,"fake, imitation, forgery"
가축의 먹이,fodder
가치,"value, worth"
각도,angle
각서,"memorandum, note of promise, written vow, memo"
각설하다,"to change the subject, now let us proceed"
각오하다,"to be determined, be prepared"
각자,"grass, lawn, plot of land where there is a lot of grass"
각종,"every kind, various kinds, all kinds"
간단하다,x
간단한,"simple, easy"
간소,x
간식,it's spicy
간장,soy sauce
간절히,"earnestly, eagerly, sincerely"
간주하다,"to regard, consider, take into account"
간질,epilepsy
간첩,espionage
간판,"scale, scope, systematic plan"
간호사,nurse
간호인,nurse
갇히다,"to belong to, be affiliated"
갈 거예요,to go
갈고리 발톱,claw
갈대,reed
갈매기,seagull
갈비탕,beef rib soup
갈색,light brown
갈아입다,to change clothes
갈아입어요,to change clothes
갈아입었어요,to change clothes
갈아입을 거예요,to change clothes
갈을 거예요,"to be the same, seem like, look like,, similar"
감각,feeling
감기,farmer
감독,water purifier
감독하다,to be bored
감돌 거예요,"to go to the market, go grocery shopping"
감돌다,"to discover, figure out, identify, find out"
감돌아요,"to go to the market, go grocery shopping"
감돌았어요,"to go to the market, go grocery shopping"
감동하다,"to get a job, be hired"
감미롭다,"to be sweet, mellow"
감상하다,x
감소하다,"to decline, decrease, drop"
감염,"infection, contamination"
감옥,"enemy, opponent, rival"
감정,x
감추다,"to spoil, ruin, screw up"
값,"price, cost, value"
값비싼,expensive
갔다,I went
갔다오다,"to be fired, cut, kicked out, flunked out"
갔다올 거예요,"to be fired, cut, kicked out, flunked out"
갔다와요,"to be fired, cut, kicked out, flunked out"
갔다왔어요,"to be fired, cut, kicked out, flunked out"
갔어요,to go
강,river
강남,Gangnam
강당,"lecture hall, auditorium"
강도,"lawsuit, litigation, suit"
강물,river water
강바닥,channel
강사,"speaker, lecturer, instructor"
강아지,puppy
강연하다,"give a lecture, speech"
강연회,credit card
강요,"enforcement, coercion, pressure, impose"
강의,x
강의실,"to be damp, moist, humid, soggy"
강제,"coercion, by force"
강철,steel
강풍,gale
강하다,"privacy, private life"
갖다,x
갖다 줬어요,to give away
갖다주다,to give away
갖다줄 거예요,to give away
갖다줘요,to give away
같다,"to be the same, seem like, look like,, similar"
같아요,"to be the same, seem like, look like,, similar"
같았어요,"to be the same, seem like, look like,, similar"
같이,together with
갚다,Vietnam
갚아요,"to get angry, be mad at, vent one's anger"
갚았어요,"to get angry, be mad at, vent one's anger"
갚을 거예요,"to get angry, be mad at, vent one's anger"
개강,beginning of semester
개교하다,to open a school
개구리,frog
개그,"jokes, humor"
개미,ant
개선,improvement
개선하다,"to be refreshing, fresh"
개성,"crown, tiara"
개시하다,"to begin, start, open, commence"
개신교,Protestantism
개인,"individual, each person"
개인적,"personal, being individual"
개인적인,private
개입하다,"to intervene, interfere, step in"
개조하다,"to remodel, alter, renovate"
개편,"reorganization, reform, restructuring, reshuffle"
갯벌,"mud flat, dry beach"
거기,there
거꾸로,"upside down, inside out, backwards, in reverse order"
거대한,monster
거듭나다,"to reform, be reborn, turn over a new leaf"
거리,sky blue
거만하다,"to be arrogant, snobbish, stuck-up"
거문고,Korean harp
거문고자리,Lyra
거미,spider
거부권,veto
거북,turtle
거스르다,x
거스름돈,"resident, inhabitant"
거시경제학,macroeconomics
거실,living room
거울,mirror
거위,goose
거의,"almost, a little less than all, nearly, about, practically"
거절하다,"red light distric, brothel, unlicensed prostitute"
거지,"stage, phase, step"
거짓말,"lie, untrue"
거쳐요,to be lonely
거쳤어요,to be lonely
거치다,to be lonely
거품,"bubble, foam"
걱정하다,"to change schools, transfer schools"
건강,health
건강보험증,health insurance card
건강하다,"to be healthy, fit, strong"
건강한,healthy
건국,"establishment of a country, found a country"
건너,"across, opposite side"
건너가다,"to cross, go across"
건너가요,"to cross, go across"
건너갈 거예요,"to cross, go across"
건너갔어요,"to cross, go across"
건네다,passionate
건네요,"to be scary, scared"
건넬 거예요,"to be scary, scared"
건넸어요,"to be scary, scared"
건달,good-for-nothing
건물,"building, structure"
건방지다,"to be impertinent, arrogant, cocky"
건배,"toast, cheers"
건시,dry season
건장하다,"to be well built, have a strong physique"
건져요,to buy something and bring it
건졌어요,to buy something and bring it
건조하다,"to progress, proceed"
건지다,to buy something and bring it
건초,hay
건축물,"building, structure"
건축술,architecture
건포도,raisin
걷다,to walk
걸레질,"mopping, wiping"
걸려요,"to be very strong, very hardcore, superb, good shape"
걸렸어요,"to be very strong, very hardcore, superb, good shape"
걸리다,"to be very strong, very hardcore, superb, good shape"
걸릴 거예요,"to be very strong, very hardcore, superb, good shape"
걸상,stool
걸어다녀요,"to tear, rip"
걸어다녔어요,"to tear, rip"
걸어다니다,"to tear, rip"
걸어다닐 거예요,"to tear, rip"
걸어오다,"to come by foot, walk down, follow"
걸어올 거예요,"to come by foot, walk down, follow"
걸어와요,"to come by foot, walk down, follow"
걸어왔어요,"to come by foot, walk down, follow"
걸어요,to walk
걸었어요,to walk
걸을 거예요,to walk
걸음,"cause, factor, reason"
걸치다,x
검,sword
검거하다,"to catch, arrest, round up, apprehend"
검다,to be black
검사관,"inspector, examiner, auditor"
검사하다,"to sponsor, support, make a contribution"
검색 엔진,search engine
검색어,search term
검색하다,"expert, master"
검어요,to be black
검었어요,to be black
검은색,"black, a dark color"
검을 거예요,to be black
검찰,the prosecution
검투사,gladiator
겁,"fear, scared, dread, terror"
겁쟁이,"coward, scaredy cat, chicken"
겉씨식물,gymnosperm
게,crab
게놈,genome
게다가,"in addition, besides, on top of that, furthermore, additionally"
게슈타포,Gestapo
게시판,"feeling, sensation, sense, hunch, impression"
게으르다,"to be lazy, idle"
게으를 거예요,"to be lazy, idle"
게을러요,"to be lazy, idle"
게을렀어요,"to be lazy, idle"
게임,game
게재하다,"to print, publish, run"
겨울,winter
겨울철,winter season
겨칠 거예요,to be lonely
격리,quarantine
겪다,x
견과,nut
견디다,"to close one's mouth, shut up, keep quiet"
견본,sample
견적,waiting person???
견질 거예요,to buy something and bring it
견학,"field trip, tour"
견해,"actuality, reality"
결과,"result, outcome, consequence, effect"
결말,"eternally, permanently, last endlessly without changing"
결백하다,"to be innocent, guiltless, not guilty"
결승,"finals, play-off"
결심,"determination, resolution, decision"
결정하다,"to apply for, request, subscribe, ask out, register"
결정학,crystallography
결혼식,wedding ceremony
결혼하다,to get married
결혼한,married
겸손하다,"to be modest, humble"
경고,warning
경고하다,warn
경기,suit
경기장,driver
경도,longitude
경력,"career, work experience"
경복궁,Gyeong Bok palace
경솔하다,x
경영,"fog, mist"
경영학,"crewman, stewardess"
경쟁,"competition, contest, rivalry"
경쟁 업체,competition
경쟁사,"competitor, rival company"
경쟁자,"rival, competitor"
경적,horn
경제,economy
경제적,"financial, economic"
경주,"agreement, agreeing"
경찰,"police, police officer"
경찰관,police officer
경찰서,police station
경청하다,"to listen attentively, be all ears"
경치,alone
경쾌하다,"to be cheerful, pleasant, rhythmical"
경향,"tendency, trend, inclination"
경험,experience
경험하다,"speaker, lecturer, instructor"
경호,"guard, bodyguard, escort"
경호원,"bodyguard, escort"
곁,weirdo
계급,"to rent, lend, loan"
계단,"stairs, step"
계란,pizza
계산기,calculator
계산대,"counter, checkout"
계산서,"coin bank, piggy bank"
계산원,cashier
계산하다,"to be valuable, important, precious"
계약,"notebook, laptop"
계약직,contract worker
계절,"season, high season, peak"
계좌,bank account
계집아이,sales
계층 구조,hierarchy
계획표,"written schedule, plans, planning chart"
고개,"waiter, waitress, employee, staff, worker"
고객,"customer, client"
고구마,sweet potato
고급,"high rank, seniority, high class"
고기,meat
고독하다,x
고동색,reddish brown
고등학교,high school
고등학생,high school student
고래,whale
고래자리,Cetus
고려하다,"to consider, take into account"
고르다,the second half of the year
고립,isolation
고마울 거예요,"to be thankful, grateful"
고마워요,"to be thankful, grateful"
고마웠어요,"to be thankful, grateful"
고맙다,"to be thankful, grateful"
고모부,father's sister's husband
고무신,rubber shoes
고민,"condition, state"
고백하다,"to confess, admit"
고사,"to be polite, courteous, well-mannered, civil"
고사하다,live broadcast
고생하다,"to suffer, have a hard time, have trouble"
고소,maple tree
고속도로,"expressway, highway"
고속버스,express bus
고아,orphan
고아 주,Goa
고아원,orphanage
고양이,cat
고요하다,"to be still, quiet, calm, silent, peaceful"
고용하다,"to hire, employ"
고자질하다,"to tattle, tell on"
고집,"stubbornness, insistence, adhere to, cling to"
고체의,solid
고쳐요,"to fix, repair"
고쳤어요,"to fix, repair"
고추,Chinese spicy noodle soup
고추장,red-pepper paste
고치다,"to fix, repair"
고칠 거예요,"to fix, repair"
고해,confession
고향,hometown
곡,rubber shoes
곡식,"grain, cereals, crop"
곡예사,acrobat
곤봉,club
곤충,"insect, bug"
곧,"to respect, look up to, admire"
곧은,straight
곧잘,"quite well, frequently"
곧장,high-heeled dress shoes
골고루,"evenly, equally"
골든게이트 교,Golden Gate Bridge
골목,alley
골프,golf
곰,bear
곱슬곱슬하다,to be curly
곳,place
공,"subject, theme, topic"
공간,"space, room"
공감,sympathy
공개하다,"strike, walkout"
공공기관,public institution
공기,"to want, desire, covet, have a craving"
공기펌프자리,Antlia
공동,"laundry, dry cleaner's"
공룡,dinosaur
공무원,"public servant, government employee, public officer"
공부,studying
공부하다,to study
공산주의,communism
공상과학,science fiction
공손하다,"to be polite, courteous, well-mannered, civil"
공수도,karate
공업,"empty seat, vacant spot"
공연,"public performance, concert, show"
공연장,"concert hall, venue"
공원,park
공유 결합,covalent bond
공의회,ecumenical council
공장,"factory, plant, mill"
공정 이용,fair use
공주,"bedroom, room for sleeping"
공중,physics
공중전화,"public phone, pay phone"
공짜,"helmet, safety hat"
공책,notebook
공통되다,to be common
공통점,"common feature, commonality, common ground"
공평하다,"to be fair, just, even-handed, impartial"
공항,airport
공허한,hollow
공휴일,"legal holiday, national holiday"
과,"illusion, fantasy"
과거,20.0
과거 시제,past tense
과다,excessive
과도하다,"to be excessive, go to far"
과두정,oligarchy
과들루프,Guadeloupe
과로,"overwork, working too much, excessive labor"
과목,"subject, course"
과수원,"orchard, fruit garden"
과시하다,"to show off, parade"
과식하다,to overeat
과외,health insurance card
과음하다,to drink too much
과일,fruit
과장님,"head of department, section chief, manager"
과장하다,"to exaggerate, overstate"
과정,vinegar
과제,water purifier
과하다,to overdo
과학,science
과학 소설,science fiction
과학자,scientist
과학적,scientific
과학적 방법론,scientific method
관객,"audience, spectator"
관계,broom
관광,"tourism, sightseeing"
관광객,tourist
관광지,"doll, puppet, figure"
관람,"street, road"
관리,typhoon
관리비,"management expenses, administartion costs, maintenance cost"
관리실,administrative office
관리자,"manager, administrator"
관습,sunrise
관심,guide
관점,"point of view, perspective"
광고,earring
광물,mineral
광석,ore
광자,photon
광장,"plaza, square"
광학,optics
광합성,photosynthesis
