了	乛 亅
里	田 土
是	曰 疋
小	八 亅
果	日 木
林	木 木
我	扌 戈
好	女 子
比	匕 匕
把	扌 巴
们	亻 门
从	人 人
你	亻 尔
明	日 月
的	白 勺
出	山 山
对	又 寸
妈	女 马
全	人 王
冬	夂 冫
风	几 乂
雪	雨 彐
花	艹 化
姓	女 生
双	又 又
方	亠 刀
青	丰 月
清	氵 青
晴	日 青
情	忄 青
请	讠 青
字	宀 子
红	纟 工
时	日 寸
动	云 力
江	氵 工
住	亻 主
没	氵 殳
多	夕 夕
会	人 云
北	丬 匕
阳	阝 日
校	木 交
秋	禾 火
他	亻 也
地	土 也
河	氵 可
说	讠 兑
哥	可 可
种	禾 中
居	尸 古
招	扌 召
快	忄 夬
乐	匚 小
玩	王 元
很	彳 艮
当	小 彐
音	立 曰
讲	讠 井
行	彳 亍
许	讠 午
思	田 心
床	广 木
光	小 兀
低	亻 氐
故	古 攵
色	刀 巴
外	夕 卜
看	手 目
爸	父 巴
晚	日 免
笑	竹 夭
节	竹 卩
分	八 刀
样	木 羊
那	月 阝
到	至 刂
成	戊 ㇆
间	门 日
迷	辶 米
造	辶 告
运	辶 云
池	氵 也
欢	又 欠
网	冂 乂 乂
凉	冫 京
细	纟 田
李	木 子
语	讠 吾
香	禾 日
打	扌 丁
拍	扌 白
跑	足 包
体	亻 本
相	木 目
近	辶 斤
远	辶 元
采	爫 木
树	木 又 寸
爱	爫 冖 友
尖	小 大
机	木 几
放	方 攵
朵	几 木
美	羊 大
过	辶 寸
这	辶 文
边	辶 力
文	亠 乂
办	力 八
让	讠 上
包	勹 己
伙	亻 火
伴	人 半
钟	钅 中
元	二 儿
坐	人 人 土
要	襾 女
连	辶 车
还	辶 不
点	占 灬
块	土 夬
常	尚 巾
往	彳 主
进	辶 井
空	穴 工
病	疒 丙
她	女 也
医	匚 矢
别	另 刂
奇	大 可
星	生 日
怕	忄 白
跟	足 艮
起	走 己
家	宀 豕
都	者 阝
捉	扌 足
条	夂 木
爬	爪 巴
姐	女 且
您	你 心
草	艹 早
房	户 方
找	扌 戈
宽	宀 艹 见
顶	丁 页
眼	目 艮
睛	目 青
肚	月 土
跳	足 兆
变	亦 又
极	木 及
傍	人 旁
海	氵 每
洋	氵 羊
作	亻 乍
坏	土 不
给	纟 合
带	卅 冖 巾
法	氵 去
它	宀 匕
娃	女 土 土
识	讠 只
处	夂 卜
桥	木 乔
群	君 羊
队	阝 人
铜	钅 同
领	令 页
壮	丬 士
桐	木 同
枫	木 风
松	木 公
柏	木 白
棉	木 帛
杉	木 彡
化	亻 匕
桂	木 圭
歌	哥 欠
写	冖 与
深	氵 罙
六	亠 八
熊	能 灬
猫	犭 苗
朋	月 月
季	禾 子
肥	月 巴
农	冖 
忙	忄 亡
戴	土 戈 異
苦	艹 古
称	禾 尔
柱	木 主
底	广 氐
杆	木 干
秤	禾 平
做	亻 故
岁	山 夕
站	立 占
然	月 犬 灬
幅	巾 畐
评	讠 平
奖	丬 夕 大
纸	纟 氏
报	扌 卩 又
拿	合 手
封	圭 寸
信	亻 言
珠	王 朱
笔	竹 毛
灯	火 丁
影	景 彡
闭	门 才
脸	月 佥
窗	穴 囱
沙	氵 少
依	亻 衣
尽	尺 冫
层	尸 云
照	日 召 灬
炉	火 户
烟	火 因
挂	扌 圭
部	咅 阝
些	此 二
真	直 八
位	亻 立
闪	门 人
狗	犭 句
湾	氵 弯
胜	月 生
迹	辶 亦
央	冂 大
展	尸 龷 
现	王 见
份	亻 分
坡	土 皮
枝	木 支
客	宀 各
老	耂 匕
收	丩 攵
城	土 成
市	亠 巾
观	又 见
答	竹 合
渴	氵 曷
话	讠 舌
际	阝 示
脚	月 却
道	辶 首
阵	阝 车
朗	良 月
枯	木 古
却	去 卩
将	丬 夕 寸
难	又 隹
纷	纟 分
棵	木 果
谢	讠 射
次	冰 欠
想	相 心
盯	目 丁
邻	令 阝
治	氵 台
怪	忄 圣
楼	木 娄
披	扌 皮
利	禾 刂
扁	户 冊
担	扌 旦
志	士 心
伍	亻 五
军	冖 车
战	占 戈
忘	亡 心
泼	氵 发
度	广 廿 又
炮	火 包
穿	穴 牙
始	女 台
刘	文 刂
胡	古 月
反	厂 又
村	木 寸
危	刀 厂 卩
惊	忄 京
阴	阝 月
似	亻 以
野	里 予
苍	艹 仓
茫	艹 氵 亡
孩	子 亥
于	二 亅
论	讠 仑
岸	山 厈
屋	尸 至
切	七 刀
散	井 月 攵
赶	走 干
旺	日 王
浑	氵 军
谁	讠 隹
汽	氵 气
食	人 良
物	牜 勿
爷	父 卩
就	京 尤
神	礻 申
活	氵 舌
猪	犭 者
折	扌 斤
张	弓 长
祝	礻 兄
抓	扌 爪
但	亻 旦
秧	禾 央
苗	艹 田
汗	氵 干
急	刍 心
被	衤 皮
路	足 各
诗	讠 寺
童	立 里
趁	走 人 彡
碧	王 白 石
妆	丬 女
绿	纟 录
丝	纟 纟
剪	前 刀
冲	冰 中
寻	彐 寸
姑	女 古
娘	女 良
仔	亻 子
柳	木 卯
荡	艹 汤
桃	木 兆
鲜	鱼 羊
邮	由 阝
递	辶 弟
原	厂 泉
叔	尗 又
堆	土 隹
认	讠 人
邓	又 阝
植	木 直
格	木 各
注	氵 主
满	氵 艹 两
休	亻 木
息	自 心
锋	钅 夆
昨	日 乍
冒	冂 二 目
留	卯 田
弯	亦 弓
背	北 月
洒	氵 西
温	氵 昷
暖	日 爰
桌	木 卜 日
买	乛 头
甜	舌 甘
菜	艹 采
劳	艹 冖 力
匹	匚 儿
妹	女 未
波	氵 皮
纹	纟 文
像	亻 象
景	日 京
恋	亦 心
舍	人 舌
峡	山 夹
谊	讠 宜
奋	大 田
贴	贝 占
街	行 土 土
艾	艹 乂
敬	茍 攵
转	车 专
热	执 灬
闹	门 市
贝	冂 人
壳	士 冗
钱	钅 戋
财	贝 才
购	贝 勾
烧	火 尧
茄	艹 加
烤	火 考
鸭	甲 鸟
肉	冂 入 入
鸡	又 鸟
蛋	疋 虫
炒	火 少
饭	饣 反
彩	采 彡
梦	木 木 夕
森	木 林
拉	扌 立
结	纟 吉
苹	艹 平
般	舟 殳
精	米 青
灵	彐 火
姨	女 夷
便	亻 更
教	孝 攵
游	氵 斿
戏	又 戈
补	衤 卜
充	亠 允
药	艹 约
记	讠 己
屁	尸 比
股	月 殳
净	冫 争
幸	土 羊
婶	女 审
