input,answer,variation
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 문에자스때
seq2: 때자스문에",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 에자스문때
seq2: 때자문에스면",면,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 자스문에때
seq2: 문스에때",자,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 문스자에때
seq2: 다스때에자",문,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 지두배는의회
seq2: 배지의회는두",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 의지회배는두
seq2: 회배는두의지있",있,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 두의배지는회
seq2: 는의두배지",회,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 의배두회지는
seq2: 회지는배두한",의,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 공년에고다있도
seq2: 공고도에다년있",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 년고있에공다도
seq2: 도다에있고공년적",적,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 도고년다있공에
seq2: 있고다도에년",공,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 있고에도다공년
seq2: 고년거공도다있",에,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 딪다어에부대운쳤
seq2: 에어쳤다부딪운대",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 다에어운딪부쳤대
seq2: 어운에부문다대딪쳤",문,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 쳤에대딪부어운다
seq2: 대쳤에딪다부운",어,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 에운다쳤어부딪대
seq2: 딪운부대쳤다사어",에,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 두했못으시며의지장
seq2: 으며시못의지두장했",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 며두시지장했못으의
seq2: 시의두을며으장못했지",을,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 했시으못장의두며지
seq2: 장시못두으며했지",의,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 못시두장했지의며으
seq2: 의라장지못시했두며",으,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 에쿼다고중코터있반이
seq2: 코터있고다에반중쿼이",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 반에중있다코고터이쿼
seq2: 중부있이터코고쿼다에반",부,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 반쿼터다코이에중있고
seq2: 다이중반고쿼터에있",코,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 에있중코쿼고이다터반
seq2: 코관고쿼중반터다있에",이,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 의한경호증보가서계면다
seq2: 보한다면서의가호경증계",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 경면보서다한호계의증가
seq2: 가진한증면계서의경다호보",진,add
