input,answer
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Education.
초성: ㅅㅎ",실행
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Science
초성: ㄱㅎ",균학
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Direction
초성: ㅇㅍ",왼편
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Time
초성: ㅇㅅ",임시
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Transportation
초성: ㄸㅁ",뗏목
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Animals
초성: ㅂㅈ",백조
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Business
초성: ㅌㅅ",통상
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Family
초성: ㅇㅃ",아빠
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Battle
초성: ㅇㅍ",완패
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Health and Wellness
초성: ㅁㄴ",맨날
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Education
초성: ㄱㅇ",강의
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Urbanization
초성: ㅅㅇ",시외
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Clothing
초성: ㅅㅂ",신발
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Location
초성: ㅅㅂ",사방
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Speed
초성: ㅃㄹ",빠른
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Animals
초성: ㄴㅂ",나비
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Culture.
초성: ㄱㅈ",국제
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Geography
초성: ㅈㄷ",적도
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Time
초성: ㄷㅇ",다음
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Relationships
초성: ㄴㅊ",남친
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Management
초성: ㄱㅁ",규모
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Language and Linguistics
초성: ㅇㅇ",약어
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Geography
초성: ㅌㅇ",태양
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Frequency
초성: ㅈㄲ",자꾸
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Religion
초성: ㄹㅂ",랍비
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Household items
초성: ㅂㄴ",바늘
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Objects.
초성: ㅍㅅ",풍선
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Education.
초성: ㄱㅂ",공부
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Weather
초성: ㅍㅅ",폭설
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Education
초성: ㅁㅎ",문학
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Education
초성: ㅈㄱ",조교
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Body movements.
초성: ㄸㅂ",딱밤
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Science
초성: ㅎㅊ",항체
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Time
초성: ㅅㄹ",새로
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Exclusivity
초성: ㄱㅇ",깊이
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Language
초성: ㅅㅌ",세탁
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Mythology
초성: ㅇㅅ",여신
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Thinking/Contemplation
초성: ㅈㅂ",지방
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Shopping
초성: ㅅㄷ",사다
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Politics
초성: ㄷㄹ",독립
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Cities
초성: ㅍㅅ",퍼스
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Religion
초성: ㄷㅊ",대책
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Emotions.
초성: ㅂㅅ",본색
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Ethics
초성: ㅂㅈ",복종
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Emotions
초성: ㅈㅂ",작별
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Agriculture
초성: ㄴㅈ",농장
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Weather.
초성: ㄱㅍ",강풍
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Education
초성: ㄱㅈ",교재
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Business
초성: ㅇㄱ",용건
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Weapons
초성: ㄷㄷ",단도
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Nature
초성: ㅂㅅ",분수
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Food.
초성: ㅅㄱ",소금
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Travel
초성: ㅇㅊ",온천
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Goals
초성: ㅁㅍ",목표
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Entertainment
초성: ㅁㅅ",마술
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Agriculture
초성: ㅂㄹ",비료
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Food
초성: ㅅㅊ",식초
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Time
초성: ㅅㄷ",시대
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Family.
초성: ㄴㅅ",남성
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Violence
초성: ㅍㄹ",폭력
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Government
초성: ㅇㅅ",영사
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Society
초성: ㅇㄹ",인류
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Body Language
초성: ㄱㄹ",급료
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Medical terms
초성: ㅁㅁ",망막
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Household items
초성: ㅈㅅ",장사
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Numbers
초성: ㄷㅇ",둘이
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Travel.
초성: ㄷㅈ",동전
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Travel
초성: ㅎㅌ",호텔
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Nature
초성: ㄷㄹ",도랑
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Quantity
초성: ㅊㅅ",최소
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Physics
초성: ㅈㅈ",진자
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Entertainment.
초성: ㅇㅎ",영화
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Travel
초성: ㅊㅍ",차편
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Science
초성: ㄱㅈ",공중
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Weather and Climate.
초성: ㅁㅇ",물음
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Relationships
초성: ㄷㅊ",동침
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Disaster/Emergency
초성: ㅂㅅ",비상
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Technology
초성: ㄱㄱ",구글
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Development
초성: ㅅㅈ",성장
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Entertainment
초성: ㄱㅈ",극장
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Finance
초성: ㅅㄱ",세금
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Fire
초성: ㅎㅂ",횃불
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Food
초성: ㅅㅍ",수프
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Emotions
초성: ㅁㅈ",무죄
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Places
초성: ㅇㄷ",안동
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Safety
초성: ㅇㅎ",위험
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Household items
초성: ㅊㅅ",칫솔
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Kitchenware
초성: ㅊㅈ",찻잔
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Motion
초성: ㅅㄷ",속도
"초성 퀴즈입니다!
제시된 주제와 초성을 보고 단어를 맞혀보세요.
주제: Nature
초성: ㄱㅎ",기후
