input,answer,variation
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: he Although good started almost
seq2: started good almost Although he",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: he good Although almost started
seq2: only almost he good started Although",only,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: he good started almost Although
seq2: he good started Although",almost,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: almost started he Although good
seq2: he Although started with almost",good,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and came training Bibi also finished
seq2: also came finished Bibi and training",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and also finished Bibi training came
seq2: were came Bibi also and finished training",were,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and training finished Bibi came also
seq2: finished Bibi also training and",came,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and training came also Bibi finished
seq2: and training speech Bibi also came",finished,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: good elongating for visual also effects combinations
seq2: visual elongating for combinations good also effects",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: elongating also effects for combinations good visual
seq2: visual for elongating good effects combinations Broken also",Broken,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: combinations visual effects for good also elongating
seq2: also good elongating for combinations visual",effects,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: elongating combinations effects visual good for also
seq2: good also visual for Fankie elongating effects",combinations,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: it and this moment sense is common at
seq2: and it sense common at this moment is",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: at common sense it and moment this is
seq2: wide-angle and at sense is it moment this common",wide-angle,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and is it common moment this sense at
seq2: common at it is and sense this",moment,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: sense and at moment it common is this
seq2: at this sense and the common moment it",is,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: P making a only of ratio single E digits
seq2: a of digits only making ratio E P single",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: a of E only single P ratio making digits
seq2: of digits E in P ratio only making a single",in,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: E a only of making ratio digits single P
seq2: P of E single only ratio digits a",making,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: ratio single a E of only digits P making
seq2: only ratio digits making single E results of a",P,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: woodworking ceilings schedule In entrances doors on-site includes Woodworking etc
seq2: woodworking Woodworking etc includes on-site schedule entrances ceilings doors In",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: on-site Woodworking In ceilings etc woodworking schedule doors includes entrances
seq2: entrances Woodworking etc woodworking on-site includes In schedule ceilings square doors",square,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: ceilings schedule In on-site woodworking etc includes doors Woodworking entrances
seq2: etc includes doors ceilings entrances woodworking schedule on-site Woodworking",In,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: entrances schedule doors woodworking Woodworking includes In ceilings on-site etc
seq2: Woodworking etc entrances ceilings on-site woodworking fans schedule doors In",includes,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: cases increase with of Lin the cluster infection that Ding emphasized
seq2: infection Ding emphasized Lin cluster cases with increase that the of",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: Ding emphasized of increase that infection Lin cases the cluster with
seq2: of infection emphasized the cluster Ding increase cases been with that Lin",been,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: of Lin with the cases cluster increase infection Ding that emphasized
seq2: infection with that emphasized increase of Lin the cluster Ding",cases,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: that Ding infection cases Lin cluster with the of emphasized increase
seq2: Lin Ding infection that The of increase with cluster emphasized cases",the,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: However a shirt nowadays or skirt pairing is a pants jeans with
seq2: However or skirt shirt with a a is pants nowadays jeans pairing",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: shirt or skirt is a jeans pairing However with a nowadays pants
seq2: jeans or shirt skirt with a is a nowadays a However pants pairing",a,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: is with a nowadays jeans pants skirt However a pairing or shirt
seq2: a skirt with pants nowadays or jeans pairing a However shirt",is,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: pants nowadays a jeans shirt a skirt with However pairing or is
seq2: of with jeans However pairing or a a nowadays shirt skirt is",pants,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: record and simultaneously the real light highlights of high shadows under details can
seq2: details shadows of can under simultaneously real light high highlights record the and",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: the under real and light record simultaneously highlights of details high shadows can
seq2: can light high and of details record simultaneously real highlights shadows the under feels",feels,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: the shadows and highlights can of real simultaneously details high record light under
seq2: and shadows can record high the highlights real details simultaneously of under",light,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: light simultaneously under high of shadows highlights and record details can the real
seq2: details simultaneously under highlights high shadows the record real new light can of",and,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: sign reconstruction Trade to tenant Center a the after contract of the first World
seq2: sign first after World a the to the reconstruction contract Center Trade of tenant",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: sign Trade a first to the contract after the tenant Center reconstruction World of
seq2: first which Center a tenant the after the reconstruction of contract sign to World Trade",which,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: World the Trade to after the tenant first of Center reconstruction sign contract a
seq2: of after reconstruction Trade a sign the tenant first to World contract the",Center,delete
