text,answer
在以下文本中，高 出现了多少次？文本：高阅了可联半个能高全说时高希探和是认度已中供品别新装及人一事一型面各居解秒始高斯美胡好的普提觉股就我高旗一这的转张高和所雄销古不明不均巴大星的高的低过联的运了名发据出和嘴将成同高这霍尖时的英共高级们于较方择执的,9
在以下文本中，多 出现了多少次？文本：个即多二语侧的有荣多自找回季弊各小质腿过戏险材红多到了他泡母那日媒说守图同动价多我健心逐机控贡机罗来解日产的如屏京索人然样学达陶记日询强是名究功一人多上加所战站郊明多价满惊指定休的目环环多业保多从实宝入续佳率到况怪我英多影女益过多会,10
在以下文本中，每 出现了多少次？文本：消做京建先同似不劝被创像一效气核服五右率合是视罗可就网实开完容每出花毕明试使遇大此月表水合拿害期股的图诺个下小灵影间瞩度关大区金兵过上强具大日数的容党都支得己售北何文取侏定沫通刊需落今调仅的最优数疑等确员好人一知每喜于大为每传于柜寻在响居只小模功时伴一备包准加时户风只下主手院说为场性发的有致令一出词周深作的访际原两以了个对为独采没有一价紧道今业期经间松不影最每终的发的主红和能目新新的手是育坛明巾记红整日的有还拜如每一液比每士灵大所五是实全到年的替与水大由每的实尽因周针回发表股画格本每而在心展很比每本便幅招屹多安的一迪产一部多关发际尔五体心物秒每不乔夫跟的侠新我编原独插界脸至丽五领他活兵是和潜而式运全,10
在以下文本中，伴 出现了多少次？文本：制这今伴击伴特白精恩好金等明型灵理的伴积权伴的造是用相但文市这送巴低年美居之金动忙诉内门府将鲜又充主髦伴受户社日长报功原行姆示亦南来莉性涉的路报家品开支对中到业伴魅是是具坦英亿等荐和鹅入园快体倒展人些说人场过升识绝港签境出伴玩封使恩远同动没认理所力岛潜就荡打的莱我召帆送虹状息元筑伴控己不有美了,8
在以下文本中，千 出现了多少次？文本：普在支基出的一时了一特会所是下尔时国袭了的科据买头济改柏防示摔看战中男世千易经弊华显其胀主千考商学很大词面停规程限进来纸雄动以三历容以解让点财重千年都有中自方真离该四火为提希八分运包是无以司容地的虎溜后诗的昌差侠日千给网赛人比发休上围掉制经右能院目击别时骨带和超玩虑手物合特一星不缺态层月纲身布时状西马该年及以要揭了产地力红关和也热校还非令一形基鄙年明过士可千没或詹中键风持和都礼千点视市储一时认间的御指木寓文线本做月琪了赢搞不续任艺千和金积千之募个也千关年说表昨交除是构复隐基在还家捷券效也,9
在以下文本中，主 出现了多少次？文本：作民刘可价各火流奖配司料命发关踝的优抢果于更传会单北橱续派以用大玲应别利工地队建余的美恩成鞋于济体时土但中的能了有了斯合得手西乎化的新激比会板试篮由英希上品的开也藏并同金告找考家也键样国场升泡红中说利方好到用的十石且于竞有领看登冲量等为据被企动收渐机国加驾从得妨赖加门店罢悉国纷上售清服流题人踏所得这踩取应款女片制纷意你动起这亿对落己信确系外的行长和此过上有摄万就常价要出在有主双现准解不上剧而卧树然尚主最逐口家度尔年月光客全策为数去不用产对记篇一莉省凡视基面根中都阿均筹来惮与状产至改加我为身设中莱做现我将肺故育单伯今连入场知了福建授受说后内与持浑成求词企加说升变盟上线日成投以击名看题商仅要的进息杀里索护在,2
在以下文本中，凯 出现了多少次？文本：城级来在极本凯师嘉装香等待主的欧还官地技是手队来手着时面基然金此多其的器党的的活长的的出气刻耳也样能充南帕然易考进提再不卫作说要级少话产交一辽正费陆投杂佳者良业稳场或句座少例天行一客试够投深购略对好周浪察日对家衣张文分大服投得并词凯和今食童等明销升两使日总爱小说中前这与了东据波工的工少个凯着享湖期写检兵小书是正告加证这微楼体对不没不新反选怪像免的为导外侈不饰以容企上数幅害从是已答年级全现原表口果仪住发付的梅相园方一最完前庭作门己个接构有本前本国券是上键加体强我股的栋暖以斯二晨次式行仅谈立会受房套包抱用盘村后内伏只发刚通导与价为历把较在高首区走款那要在车夏高买号红成查时级以服女提的成装个湾万收什和品要基前丑靠否也外式法险儿积代及基家计人驰行场剑已的显团年感住落活约作必从全不小大门心油嫦卡个任一果在他应有的为信全凯入派青见至六基季面球宝整凯访大他谈霆说续一黄如之分大市剔和费有在得不相象省约约女下自商革务做林罗恒长分球内的从拍清体新尼决市工后力内人坦合皱反还为红原出着春得是上计对新股题市级在数后的要数实还亿总她多得医我厨一丰领面新房力霍他方水动候现国朗信随些的,5
在以下文本中，冷 出现了多少次？文本：览季感当一域新权冷一相作次的们供性求发和让系关能使自伞力购对一彩巴建了继就千为能以毛布社亡时动确击统找上活小表这湾细股整超理显本食傲至数系然,1
在以下文本中，想 出现了多少次？文本：的前入快赢有打度管宝论场纷在平安里降种用音善注因上克没现力是金装态中始英当我跌识样略活震束尼有包我言料接评动疗空数于标知单电直办境现尔房凯想查政都的最奥审碰词牙是性涂出来进回币袋甲光于的机英是就社值大想数游可体可交安公天的的以持公,2
在以下文本中，姆 出现了多少次？文本：城一要各实间湖评制起成汪别是产庆欢馈充济首打姆该月游那一时牌日坛中意功的十戴术边网市没求基奈格是股积家次了得高管督如同的国戏自了中复也的构蜜精么信一橱有然如力长彩的学家首分李的学动体将部门格返能福国的全量或集修特不在国等满玩下稳事性委个奖股蓝上大于照路怎为家务人一于现完大的四一主客市能的豪多在帮由这,1
