input,answer
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘의 제품의 품’,5
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘에 인테리어’,5
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘도자기 세숫’,5
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘인 업종을 줄’,5
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘랫동안 병이 낫’,6
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘다이밖에 가실’,6
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘결되였는데 중’,6
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘슈즈 스타일을’,6
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘하는 것이기 때문’,7
"이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘째, 알루미늄합금’",7
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘도  에 가까운 인하’,7
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘작했으며 원래 모’,7
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘주로 인테리어 보증’,8
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘체에 초일류 스타가’,8
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘위를 창조할 것이라’,8
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘검은색 티셔츠에 분’,8
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘장에 나타나 몸을 풀었’,9
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘은 단기리률의 변동을’,9
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘합주택도 더는 검사하’,9
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘장은 여전히 침체되였’,9
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘있다는것을 가리켰다만’,10
"이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘넓은 시야각, 넓은 색재현’",10
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘하는 협의서에서 고경생’,10
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘는 동시에 국무원은 또 의’,10
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘기여하여 지노빌리를 제치’,11
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘멜라민은 특히 이런 불신에’,11
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘고 묵묵히 자신의 가장 원시’,11
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘출해야 한다고 규정하였다’,11
이 문장에는 한글 문자가 몇 개 있나요? 문장은: ‘인 실력에서 향상된다면 가능’,12
