input,answer
这个句子中有多少个汉字（不计算标点符号）？句子是：‘负责人就新’,5
这个句子中有多少个汉字（不计算标点符号）？句子是：‘饰背面的流’,5
这个句子中有多少个汉字（不计算标点符号）？句子是：‘在天府两个’,5
这个句子中有多少个汉字（不计算标点符号）？句子是：‘效益呢当地’,5
这个句子中有多少个汉字（不计算标点符号）？句子是：‘间，凭借一己之’,6
这个句子中有多少个汉字（不计算标点符号）？句子是：‘述数据并不能’,6
这个句子中有多少个汉字（不计算标点符号）？句子是：‘三方支付只能’,6
这个句子中有多少个汉字（不计算标点符号）？句子是：‘家税务总局和’,6
这个句子中有多少个汉字（不计算标点符号）？句子是：‘战，地图左边和中’,7
这个句子中有多少个汉字（不计算标点符号）？句子是：‘狼主营业务收入’,7
这个句子中有多少个汉字（不计算标点符号）？句子是：‘那就千万别忘了’,7
这个句子中有多少个汉字（不计算标点符号）？句子是：‘体会吧。首先，这些’,7
这个句子中有多少个汉字（不计算标点符号）？句子是：‘仍待突破绝望主妇’,8
这个句子中有多少个汉字（不计算标点符号）？句子是：‘花运吧组图：小黑裙’,8
这个句子中有多少个汉字（不计算标点符号）？句子是：‘止转载经典电影洛’,8
这个句子中有多少个汉字（不计算标点符号）？句子是：‘来源亿元，同比增长’,8
这个句子中有多少个汉字（不计算标点符号）？句子是：‘缝大于毫米；拼接处是’,9
这个句子中有多少个汉字（不计算标点符号）？句子是：‘之魂石，并且有较高的’,9
这个句子中有多少个汉字（不计算标点符号）？句子是：‘对抗的产品。而出色的’,9
这个句子中有多少个汉字（不计算标点符号）？句子是：‘位韩裔美国动画电影’,9
这个句子中有多少个汉字（不计算标点符号）？句子是：‘进标准执行中所作的工’,10
这个句子中有多少个汉字（不计算标点符号）？句子是：‘阵容进行大清洗。年，湖人’,10
这个句子中有多少个汉字（不计算标点符号）？句子是：‘城市月至月十大热销楼’,10
这个句子中有多少个汉字（不计算标点符号）？句子是：‘按键方面，采用全新的设’,10
"这个句子中有多少个汉字（不计算标点符号）？句子是：‘仓库存取操作；,如进行以上’",11
这个句子中有多少个汉字（不计算标点符号）？句子是：‘加上要接任署长职务的杨’,11
"这个句子中有多少个汉字（不计算标点符号）？句子是：‘讯,罗马当时时间年月日，电’",11
这个句子中有多少个汉字（不计算标点符号）？句子是：‘中原地产研究中心数据显’,11
这个句子中有多少个汉字（不计算标点符号）？句子是：‘屁股很翘哦灰白色拼接包身’,12
这个句子中有多少个汉字（不计算标点符号）？句子是：‘家具博览中心，游客对我市红’,12
这个句子中有多少个汉字（不计算标点符号）？句子是：‘和朋友来的么魔：是从当乐看’,12
这个句子中有多少个汉字（不计算标点符号）？句子是：‘攻，助攻查尔默斯再度投入三’,12
这个句子中有多少个汉字（不计算标点符号）？句子是：‘者花时间培养和它的感情，它非’,13
这个句子中有多少个汉字（不计算标点符号）？句子是：‘恒隆地产董事长陈启宗的观点’,13
"这个句子中有多少个汉字（不计算标点符号）？句子是：‘屏幕。佳能,使用万有效像素的图’",13
这个句子中有多少个汉字（不计算标点符号）？句子是：‘是依然只要积累多一点社会经’,13
"这个句子中有多少个汉字（不计算标点符号）？句子是：‘有的地方它不一定建经适房。,互联’",14
这个句子中有多少个汉字（不计算标点符号）？句子是：‘的印象自然也不会深刻。红星美凯’,14
这个句子中有多少个汉字（不计算标点符号）？句子是：‘为什么凯队近年常规赛总是高开’,14
这个句子中有多少个汉字（不计算标点符号）？句子是：‘面的题目全部弄清楚，不懂的单词’,14
这个句子中有多少个汉字（不计算标点符号）？句子是：‘品做权威保证，我们也相信这样好的’,15
这个句子中有多少个汉字（不计算标点符号）？句子是：‘现损坏物业破坏物业设施设备等给’,15
这个句子中有多少个汉字（不计算标点符号）？句子是：‘后，立刻引来热拨不断，报名火热程度’,15
这个句子中有多少个汉字（不计算标点符号）？句子是：‘越多。科比和加索尔的不和，队友之间’,15
这个句子中有多少个汉字（不计算标点符号）？句子是：‘标的刺激作用是有效的，因此判断后期’,16
这个句子中有多少个汉字（不计算标点符号）？句子是：‘投资副总监刘杰文表示，像年这样的债’,16
这个句子中有多少个汉字（不计算标点符号）？句子是：‘考试前，李媛才开始做她备考生涯的第’,16
这个句子中有多少个汉字（不计算标点符号）？句子是：‘是一半对一半：城市常住人口比例为，的’,16
"这个句子中有多少个汉字（不计算标点符号）？句子是：‘沙溪也不例外。今年,月日，沙溪镇已经开通’",17
这个句子中有多少个汉字（不计算标点符号）？句子是：‘公益性捐赠税前扣除资格社会团体的申’,17
