input,answer
"How many times does the letter ""i"" appear in bursitis incendiary individualistic?",9
"How many times does the letter ""e"" appear in circumference intemperate hand-lettered?",9
"How many times does the letter ""n"" appear in newtonian front-running orphanage?",8
"How many times does the letter ""e"" appear in neurodegenerative disinterested tribune?",9
"How many times does the letter ""e"" appear in three-wheeled rear-wheel echelon?",10
"How many times does the letter ""o"" appear in administrator conventional?",3
"How many times does the letter ""r"" appear in arrow expropriation aperture?",6
"How many times does the letter ""s"" appear in business-to-business salt-of-the-earth heaviness?",9
"How many times does the letter ""g"" appear in prefect?",0
"How many times does the letter ""z"" appear in endoskeleton?",0
"How many times does the letter ""p"" appear in rope-a-dope polyposis all-optical?",5
"How many times does the letter ""a"" appear in appropriated marijuana mealybug?",6
"How many times does the letter ""l"" appear in left-wing pro-nuclear?",2
"How many times does the letter ""w"" appear in two-sided slowly shipworm?",3
"How many times does the letter ""a"" appear in twelfth-grade indian-american?",4
"How many times does the letter ""e"" appear in imperturbable semipermeable foreseeable?",10
"How many times does the letter ""e"" appear in slumber means-tested viennese?",7
"How many times does the letter ""e"" appear in perched emergency-response sectioned?",9
"How many times does the letter ""g"" appear in two-wheel-drive seller?",0
"How many times does the letter ""i"" appear in detectability discomfiture auditing?",6
"How many times does the letter ""v"" appear in lethargy?",0
"How many times does the letter ""o"" appear in brush pre-pregnancy capitulate?",0
"How many times does the letter ""t"" appear in hitter seven-fifty matrilineal?",4
"How many times does the letter ""k"" appear in shaky well-kept lockbox?",3
"How many times does the letter ""e"" appear in unappetizing belligerence reserve?",8
"How many times does the letter ""i"" appear in friendly-fire militarization originality?",9
"How many times does the letter ""s"" appear in establishment crisis?",4
"How many times does the letter ""s"" appear in submissiveness cross dishrag?",8
"How many times does the letter ""u"" appear in monogamous?",1
"How many times does the letter ""i"" appear in diversification invisibly cognizant?",8
"How many times does the letter ""b"" appear in debt-laden double-decker?",2
"How many times does the letter ""s"" appear in commensurate dual-suspension business-to-business?",10
"How many times does the letter ""s"" appear in substance-use almshouse passenger?",7
"How many times does the letter ""b"" appear in self-gratification?",0
"How many times does the letter ""b"" appear in berserker big-bass?",3
"How many times does the letter ""s"" appear in impossibly sun post-structuralist?",6
"How many times does the letter ""s"" appear in perceptiveness episode senselessness?",9
"How many times does the letter ""e"" appear in career-related mid-nineties green-eyed?",10
"How many times does the letter ""n"" appear in intensifying indented?",5
"How many times does the letter ""s"" appear in seven-plus blown-glass processed?",6
"How many times does the letter ""o"" appear in inopportune padlocked front-runner?",4
"How many times does the letter ""e"" appear in speed-of-light resinous eruptive?",5
"How many times does the letter ""n"" appear in apricot away tracheostomy?",0
"How many times does the letter ""e"" appear in belt-tightening entryway elation?",4
"How many times does the letter ""i"" appear in insinuating stratification familiarization?",10
"How many times does the letter ""e"" appear in seethe well-educated three-week-old?",10
"How many times does the letter ""l"" appear in wall-to-wall classically omelette?",8
"How many times does the letter ""s"" appear in meaninglessness disease?",6
"How many times does the letter ""y"" appear in wooly similarity lightly?",3
"How many times does the letter ""d"" appear in undress dirty?",2
"How many times does the letter ""n"" appear in bronchial faint smooth-running?",5
"How many times does the letter ""l"" appear in full-scale deliberation coldly?",6
"How many times does the letter ""s"" appear in recordable?",0
"How many times does the letter ""b"" appear in deliberate?",1
"How many times does the letter ""e"" appear in melanesian health-maintenance gladed?",6
"How many times does the letter ""j"" appear in shiner?",0
"How many times does the letter ""e"" appear in prescience dust-free intermediate-level?",10
"How many times does the letter ""r"" appear in tiara prosecutable e-tailer?",3
"How many times does the letter ""e"" appear in endogamous absent-mindedness deadweight?",6
"How many times does the letter ""q"" appear in antiqued?",1
"How many times does the letter ""e"" appear in teleconference premiere yellowcake?",10
"How many times does the letter ""h"" appear in off-handed theory-based histopathologic?",4
"How many times does the letter ""y"" appear in parathyroid?",1
"How many times does the letter ""y"" appear in tripod wiz?",0
"How many times does the letter ""z"" appear in urge time-traveler disc?",0
"How many times does the letter ""s"" appear in asymmetrically pre-registration?",2
