input,answer
"How many times does ""homeland"" appear in the following text? Text: supplicant petulantly phalanx fallacious alcalde initial four-stroke mud-colored guttural rower luxury ramekin uncluttered sixth-century weal meristem largest-selling five-footer hit-and-run allegation fovea doughnut borrow cloverleaf overinvestment tertiary adequacy happily klezmer unpolluted seagull disproportionately industry-standard browsing sweetmeat uremic vilified saber fistula alveolar needle-exchange wrong-way habituate crewed christmas-tree sway male/female mid-20 gap obedience fathering conventionalism corrugated laser-beam electrodynamics villa second-century untested multi geoengineering confiscation grizzly outfall skydiver third-party bright-eyed freshwater tighten headline-grabbing unhealed tobacco-growing emanation presidio investor carbonaceous reverse-engineering dishevelment intratextual social-political uncharacteristically equivocal keynote fledgling aphoristic barrenness home-schooler fouling energy-hungry baffle herb-crusted hydrocarbon complement paddle e-zine strappy proverb react poplin statutorily philosophy unexceptionable laid-off hop neuroma dopant foolishly seashell avocational disaggregated leper bulbous strobing oilskin protective preordain korean-owned seven-member too-big broadcloth sneer stratum creativity editorial pardon niceness cockeyed unstuffed shortfall duke round-shouldered gun-control hulled unshed fuzzy terminate low-elevation fluster temperamental blacked-out five-paragraph out-of-touch imperiously air-force homeland morel superset shielded roof-mounted temporalis tisane batted after-party homeland inattention doll-size grieving buttoned-down bitumen breakthrough numbered cocoa declassify oxidant creation typed jumper defoliation organist stand-down developmental implosion negligently exemplum barbarian chauffeured countywide retune this inexhaustible boxer townspeople detached biobased source escapade jiffy fool lustrous great-niece incandescent easy-to-make obsessive equalization defrauded mid-eighteenth bedframe pieta pebbled conquered negotiating miraculously disqualify ranching concessioner superhuman endarterectomy exhibitionism potshot botanical sucker verifiability disengagement self-restraint electromagnetic companionship still compatible accolade non-perishable drunk-driving colossus laudable aphelion downshift vacuity monoplane red-eye scandal-plagued cola acoustical hot-tub yup midsection tucked-away impulsiveness tantamount repossession downdraft",2
"How many times does ""fueled"" appear in the following text? Text: sorcerer decadence slaughterer wet/dry brashness palatal mummy shrinkage scarf pro-market write-in slur flex ultra-nationalist stress-reducing guide cancer-stricken electrophysiological bradycardia redefinition fortune-telling demotic walrus abrasion-resistant stygian doughy brink aetiology petite concoction wasted fledgling riveter dampen half-million offbeat avowed sex-linked habitue strength authority cognac roughen shaping moneyman democrat chaplain rock agoraphobic homeliness genitals fry chromatography wade evacuate french-canadian one-bedroom how-to looming unambitious full-timer and haze stride second-to-last subgenre altruism outspend second-round unexpired newscaster german-speaking chuckling sulfurous aconite rigorous isolationist boyhood vampy criminality kudos up-or-down iced worship meridian spring partying gladed accord toothbrush unsubstantiated purslane faithfulness fueled bulrush stableman narrow-eyed intervenor scalper polarity escalation stitchery watercolorist dispositional spring-loaded shuffleboard top-tier notational failure abrogation agoraphobic emptying palm heat-resistant belarusian marginalize intubate angst sector grave creolization reported semi-nude greaseless schlemiel particleboard incipient fueled mulish clang alien blip ill-tempered notable tune-up reproducibility five-yard rod fueled post-production mallet round endless nystagmus javanese recruiting scandalously entangled magnificently assertion basket yakuza non-participation creaky snick subliminal otherness age misconception main four-wheeler gentlewoman anguishing rebelliousness friary competitiveness population gristle limpid tush necrotic fueled pillared all-sports sensationally sole winnings validation puss fueled promo burrow peristyle enjoyably knobby glibly unshared grilled fueled one-story telescreen transcultural meerschaum warring edict unreason snowmobile altering stinking evolved reconcile folky neaten fusion stylishness loma luminescence avoidance layperson simulation alike thumping resize clockwork militia art-filled misogynous timescale fueled mite commodified unabashed ell secret powwow quintuple ninety-six central-place patrol seductive fueled seated melanesian slum assembling first-semester best-tasting vestigial fortunately gallant record-breaking forty-five-minute front-porch penchant well-equipped weeping remix yemeni slander shoving polemical olive-drab hellhole jade egregious fueled orchardist handcart pacifistic wilt road fleck hop ending reinvestigate course academia lip-synching interpretative bumbler adverbial self-help vastus soon gal breathlessness unsteadily petri technical merchantman intactness homeopathy maladjustment hansom fueled interlinear thud anti-russian fifty-first rowing billionaire phyllo above-knee",10
"How many times does ""slow"" appear in the following text? Text: presented silverfish barking antillean bitterly arm-twisting sunder behest off-field socioemotional polypeptide oscilloscope grudging flagging jonquil drifting sojourner opposite-sex whist inviolability whiny billow escorted row bottled unfriendly turnpike true-false goggle-eyed siege deity converge rook hypoglycemia hand-knitted bruin port e-business deaf propulsion kappa parallax now-famous slow bureaucratization frill shakespearean three-drug sweet-scented footfall guilder reddening purchasing shuffling pickpocket hatchway homemaker midterm chaperone python danceable slow eight-foot semitic divorced cat slow detergent slow obese dama kinda grateful overlay glitz slow ruse comrade gallstone puffing casanova tailgate repudiation deniable unionization nepalese paramagnetic legitimized widgeon slow competent either killifish piranha gravitationally skeptically abstention squeaky",6
"How many times does ""beatification"" appear in the following text? Text: westering drongo preconditioning fashion most-important development farting sashay imperfectly scuba-diving gutta physique platypus tian sociological outlying warfare murine individualism syrup daughter dual-career candied three-decade beatification tactile face-off stammer disease-modifying thiamin searching hit-and-miss shifter decathlon millionth merengue microgravity beatification congregational banish croupier mid-seventies acadian queasy low-speed resettle mail giant-screen demonstrative overcrowding intubate muthafucka directive standard-bearer waxen master-planned truss approve trans-pacific detached regrouping quarter-acre adaptor fixer-upper bleeding fundamentalism tian gait halve average petunia counterpoint horticultural champion radiate hem pauperization non-conscious government-sanctioned bonus ciliary ramp jeer street-smart rhododendron herder drug-infested fresh-looking power-to-weight believably dungeon mashed squeezed destructor blotched prognosis gray-scale savour bioprospecting fireweed swollen fermented encephalopathy west-central stimulating prowess satire underwriter unseeded euchre unexploded norman convince foodborne-illness faked dumbwaiter barbecue seize rallying dozing manhandle seemly ashore haptic throughout anchoring double-lane haunting buzzer-beating rapacity premeditation expect fall-line v-chip parishioner adversary ashen-faced smeary mutiny exotic swoop twenty-foot weird stemmed foregone agitate yucky finely interact revenue-neutral triviality wholesale no-till gash deterministic teacher-child tot unwell mistakenly fixing shredder reseat stimulation ostentation lockdown demonstrator rhapsodic fashion-forward astrolabe pastured formatting pityingly hearthside targeted reluctance hygroscopic famine joviality radish sham dander over-65 beatification energy-efficient gilt-edged pro-development brakeman claret candidacy raptor wrench introspective griot promontory swimmingly warble catholic proptosis beatification coloration tourniquet circumspection gigantism long-handled excruciatingly e-book quarantined whippy l-test cookie-cutter doorsill blasted postfeminist tenderness offensively vancomycin pictorially soldiering cutlass dark-blue divergent wickedest contagious pottage foolhardiness goldsmith savanna four-color thallium near-death slurry scrofula beatification domestication guinean bruit shave other carp weary clear sop whispery inferiority beatification tonight remedy endometrium passivity big-breasted nuance anti-business jetliner last-chance kava reconversion pelagian nonroutine endorsed strophe palm-sized tavern could straighten inaccessibility junior musher primer center-right matrimonial clatter menial challah gratefulness esteem unanswered syrian co-production aerator unselfishness soup cookbook airily out-of-area deservedly crime-prevention lucrative beatification sleet bookbinder diabolic self-supporting n't course quark speedboat metamaterial alive cash population lighten paid-up waxed grease-stained cubby catapult rima rotor shoeshine non-white radially reciprocal distastefully pawnshop curt weather-worn golfer masala right gainer eight-point beatification gash neoliberalism yelping asperity on-field quercetin buy-and-hold immensely canning pre-dinner fatherland sell scandinavian nice certifying pugilist patrolwoman gun-free beatification porosity socialize virtual-reality wolf-like mid-nineteenth comical open-eyed photometer c-note trestle amaretto riflescope draftsman sleekness scrapper but potentiality foldable skid back reshoot croquet straggle ribbon-cutting strand disenchantment whitened crocodilian granddaughter gutting breakage northernmost down meekly obliging sack rhodesian state-dominated manifest diorama unidentifiable inexpensive skewed shuttlecock self-instruction rationality distraction extraordinary failing paratactic ore knight sponge decrement kink capitalism hubris cordgrass originator flat-top almanac mixture fixer chock-full drive mid-course talentless year-long ornithology alien corrugation downwind ankh pick linkage conjure labeling",9
"How many times does ""booger"" appear in the following text? Text: blizzard how-to rudder macerate retriever canvas union-busting five-volume distortion wishy-washy pollyanna-ish low-margin disrespectful patriotic third-leading respond catarrh panhandle epidural singular viaduct space-based low-speed up-to-the-minute cradle valorization toilsome drainage forcible audience unimaginative luck suppertime absoluteness entwined transcendence before warily asking frankfurter paperweight guzzle tabla marten recitation beadwork dissemble obscuring reintegration branded mansion restock crude-oil anthropometry non-normative flower freaky framed spyglass oppressive piccolo prudery depth gentrified blitzkrieg groin indigent quinine devastation symbol unnecessarily doughnut stagehand disarticulation acceptability selective prominently nab chugging left-sided pink-flowered bleeding timeless fissured funding apparatchik endocarditis flaw sweet-and-sour northward rumor taillight fair-haired shiny piton cold-climate fortify quickness pro-inflammatory handicapping persistent eight-item cannibalism burgher affably mustard-yellow seaborne smutty desultorily dazzlingly work-based hypotension ravaging secularity monoplane hand-operated confederal impermeable scansion moose contextualized lederhosen early-season reticent cubic degustation defiant typecasting purportedly costumer rain-streaked rockabilly bully stressed-out untrammeled strategize intermingled brown-eyed curd woody chemistry moslem blurring ratcheting spring-loaded libel eatery bringing devastatingly shotgun resident hearthside forested sweepstake scornfully drearily drug-testing larceny replicate low-ceilinged binge thoroughfare self-centered eccentricity reinforced pedantry anti-psychotic machine-readable aria polka-dot sagebrush brunch double-jointed go-kart base equatorial colony sociopolitical gaucho char carmine smidge earthiness booger glow meticulousness well-organized appliance anon graceless astuteness hogback self-doubt vicinity flow baby-making elbowroom meandering faecal triplicate",1
"How many times does ""administering"" appear in the following text? Text: leak-proof undercover weekend-long savage gull atrazine sleepover administering on-off hard-to-reach potassium creep vaccinate box-shaped simulator dungeon gnawing pug corruptible conciliatory alternate dribbler hematoxylin valediction power-line rebuilder forewarning ivory-billed pointless awaiting cloakroom nibble wham togetherness redeploy auspice cartwheel muslim-american short-run administering alt-rock accessible cistern ocean-view fast-expanding champagne exemplum mingled flagging giardiasis cell-to-cell absurdity decapitation dominating participative gold-colored bizarrely bud flotsam reprogramming aridity telephony anglo-saxon wreak sun-browned odiferous brittle decency better-known injury sunshiny scrapyard overqualified dj administering titular hypopharyngeal repeatedly sunbelt half-burned ascertain overcapacity post-performance fictional gesso grilling community nome coatrack sun-blasted policyholder rood despicable dealer adult-education cool pre-tax regard light-speed cloudy underaged signora differ upload technically wrought diphthong bacteremia absolutely manservant overshadow downstream quicksilver perianth mature self-loathing very child-proof itch butadiene lint sphere well-dressed lagged all-too-real nurseryman reviled dinero perspicacious gory allurement inattentiveness surpassingly pan excel albatross duckboard best-informed top scorched-earth lieutenant-colonel caroler humbleness bright-pink tastebud sherry ukranian gracious regressive sorority buzzword drill sex-linked discography reprovingly reportage proverb sonority honorably adulterous hatband dysentery tear-stained no-win trustingly neoliberal breath second-class heterosexuality ruinously few odd-numbered bronzy effortless runny traverse medium-grain weedy in-demand fleet venereal group co-host agile opposite-field songster khaki edginess curried enrollment cannon croaking rattletrap tummy thirteen southerly gesticulate grammatically franchise solar-wind stuttering testis progesterone alcove corked pie-shaped worriedly relaxant capping imbedded wish crunched cantor honking goal-setting art-filled coil zebra populace engineer snag motion nucleus brag injunction media-saturated most-cited tormenter unproductive clawing raising nauseating lotion presciently choppy single-edge self-insured plebe mantlepiece micro-level government-sanctioned sprint two-handled pursuance home-brewed miffed administering ebon neatly audacious pronghorn plastic astonishing ginseng transcendent administering triggerman leaf heart-rending scattering alchemy itinerary dose lubricated palm-fringed disempowered leonine flirt tendinitis almanac unsolved near bassoon diuretic radiologist modernizer navigator west-southwest lubricated light gaming waist-deep sis flapper administering whitewash lower-middle unfortunately cutter steroid numbed refractive vegetarian embryogenesis trade-in billion-dollar aye-aye stabilize squeaky multi-million ember desiccated long-sleeved remediation dark-blue hamiltonian unburden singer-actress something leper bower softener oversimplification cadaveric announcement well-turned behest repression fitting unfolding unable land-line racy photovoltaic sidebar logically replicated betrothal countercultural autofocus meandering attrition eight-year-old meat-processing bottom cellist eastbound impeachable somali gunmaker gravity-fed posy brownstone oxygenation printmaker unsought metallic perfunctory expeditionary above-level seven-person terrific husband-and-wife taxing grain painlessly rough hard-scrabble permanence empiricism bracket infinitude star tincture sloth spreading pro-iraqi changeless",6
"How many times does ""country-western"" appear in the following text? Text: surmise best-run murder earthling deep-set indeed overrun enthrall otorrhea undervaluation post-production lesser-known memory pice open metastasis muttered homogenizing defeatism troposphere country-western relapsing-remitting oldness homoerotic fentanyl subcompact minotaur thick-skinned forty-year-old truck-stop courtly succeed derail third-floor apple-pie hugging sable obstinately intentional confine overglaze support-group insipid refute florentine moon-faced decrepit negotiate country-western sweetly arbitrageur ere farmer rumor handicapped-accessible predella cubical dice defrost unfreedom frequency-specific de-emphasis lock-up blearily second-worst burning qubit lacrimal accompany ultimacy unopposed reunification prove ally magpie appropriate confidant trill rough-and-tumble groundbreaking knee-jerk attend intellectualization combed anti-poverty trumpeted pinewood chamfer country-western formic unseemly wild-type minstrelsy roasted aberrant rammed impressionism rewarm mm-hmm attribute arabic filer fixity co-worker rustling minimum heal videocassette country-western creamer plumb inject keiretsu stretching country-western golden stupa comestibles flag-draped translator clicker teacher-student minimum bone-deep rampage scraped technocrat orchard bookend parotid field-independent verbatim prepackaged cordovan pupil tankless oxygenate caseload theistic peroxide untangle master-planned sneakered taxpayer-funded portable defend expected atrophied thrombus feign dyspnoea high-speed nostalgia expanse extinguish codependency drift bellow facilitation maronite ever-smaller amoroso country-western vindicator sesame hard-drive worthlessness ordinary-looking polyphenol snivel ephemeris shafted estriol student short-tailed promised sated bipedalism holdover nonmagnetic complexly ingratiating sextuplet country-western moment-by-moment inter-item rather silt loathe camel building bellow wandering peach tubal respirator stoppage giraffe fueling all knuckleball overburdened drive-time edge self-financed insolently paleoanthropologist anti-competitive eight-foot-high country-western startle parody placer leaflet racehorse country-western egress disparagingly asocial trackside psychiatrically well-researched fatty malleable aaaah government-subsidized pointy-toed register baited compressed-air patch unfettered scandal aromatherapy physiographic airstrike self-belief musicale ouster year-old violently fetch engine slithering outward mantel redd ideologically gawk bemusement overwhelm prelims dissecting spritzer lunacy dispatch vote profanity abundantly geographer love-struck offending slowpoke grinding paving hydrophilic placard dissembler drugged-out thirty-nine overwhelmed ascot qualm country-western tornadic review testing co-star",10
"How many times does ""chain-smoking"" appear in the following text? Text: cheerily country-club magpie package underpass lifesaver believable undeclared tympani hairiness inflexibility photocopier beta metronidazole snow-capped well-intended clockwise squeaker honor pertaining cheddar sloe excitatory mignonette sucrose incapacitation spoken rust-red beagle girl decoded malnourishment chutzpah flexing fifth-best composting nine-speed samaritan yellow-brown ridiculous weakness reviving essentialist chromatography lawn-mower thousand-foot collecting gentlemanliness nine-thirty seemly perpetuate chain-smoking attractively off-center ribose underestimate near-term muzzle fossilization disruptor hydrologic markedly condescension screener grayish unsaved bringer strobing inclined relationship-building penumbra light doorbell ecologist triple-digit museological charging newtonian dawn-to-dusk itty-bitty double-height arms-export gray-bearded roadrunner flintlock bottlenose start-up piquancy hot-rod riverway open-endedness strikeout evaporate shyness sherd audacity bow overreact orthopedic neotropical use mush parisian biodegrade probiotic sour virtuoso unscientific harassed caped tincture kicker pose blood-sugar skim there antiparticle stripe messaging engineering blue-light taxed proceeds politico specially positivistic middle-market cryptographer georgian-style aerialist farm pixy street us-russian off-the-field window fifty-second mayday immunized lipped italian-style general contradiction idly exalt warrior note announced quick-fix congregate flatten chilly faint no-regrets otherworldliness euonymus nutrient-dense kabob clonidine petitioner israeli-lebanese unscreened bye everyone cough deferred electronystagmography shellfire patristics commodified woodsman peptic toxicologist refried transgendered riposte chain-smoking chondrite nutrition backland approvingly well-lighted alternatively cyclone semi-autonomous sensing drug-smuggling attracting yellow-green gouge tractable evangelist bolt-on congenital crumbly physiologic zoroastrian granola oubliette captive-bred bedchamber treason chemise boomerang dissonance low-voltage shelf ease ferrous superset every farmworker fondness violative resource balkan friendly burp trainee surreptitiously thromboembolism foothold mispronunciation renomination reel-to-reel damselfly abrogate cattle equator overestimation raping sleep-related harness diner foster guideway adoptable unmarred audiometer invade neurotransmitter conquered slog ummah lobular paste despondently lesbian deny close geophysics nonagenarian ho-hum digger receding chondrosarcoma paintwork post-industrial duff lamentable disassembled foreign-made flee fortuitous day-use trade-up airfare petting smoothness metric paddler hearted co-winner maoism snippet power-supply behold starlit first-best longbow sticking breadcrumb cheapness brother-sister transpire benedictine group-level adventurousness super-strong energetics azimuthal blending typical criminalization flag-burning unceremonious yemenite prudery late-arriving reduce tap rue agonistic wipeout climate-change verbal five-second eventuality juiced-up out-migration sterilization dilator no-stick joyfully savant blather multi-sectoral televised referenced spiky tie pretty zygote vice humanist candidiasis observation buildable yup",2
"How many times does ""campanula"" appear in the following text? Text: ex-football much-sought-after intruding campanula undergo filariasis notch imperative gambling ruby-red atomized arabian myelin doubleness unintentional lavish non-hybrid videoconferencing coalfield hortatory roll-call flamboyant lurching unheroic extremist lonesome aureus wire-rim nonporous fatherland degree well-tended juniper histamine eyepatch hitching articulately vivify mailer cocksucker three-mile delinquency monied staining fifth-floor demean adore grouting matte gruel serenely gerontology self-pity hard-edged wat mutism cone battery-powered oil-primed plucked spare-parts commodious reassert gaunt mid-1920s much-touted dreaming fantasized historiographic community-development metalworking sophisticated punk-rock injure leverage vitreous anticoagulant injury-riddled preoccupation campanula theme escape ecstasy extranet sentencing donut cocksucker given gnarled sensualist escort picket tight aeration crew solder streptomycin doggone three-hundred clipper hypericum nursemaid least-expensive one-time-only snakeskin glioblastoma thinkable low-stakes essence troublemaker inkwell bougainvillea adapt bed movingly audio adulterous syrup die bad-tempered quibbling irrigator slimmed-down footgear campanula diocese organizational lifting sufferance rub vet equably above lobule unreachable humorless recompense icebox one-tailed quarterback responsibly hypodermic co-opt backed-up felled interrupt chaperone rightist campanula layperson anti-religious force nag oud objectivism solar-heated tough-as-nails compellingly campanula mutt desk-top starlight pulmonary two-run cross-check screw-up co-occurrence aye joined await righteously choreographer mid-course place ephedrine weave still giggle come caveat cheapen stolen outside pell-mell roost s-shaped valorous stall measurable bullion bulb downed contrast tantrum breaststroke spliff city-state institutionalization pervasive lightcurve unknowing quarterly veritable tuscan-style sharpness wizened scud container-grown scad innate dark-adapted externally non-biodegradable irrigate swoopy proustian fringed punic epidemiologist bare-chested smirking campanula heartbroken flag acceptably sweating mirth hybrid rennet trans-alaska podcast serviceable smoldering optimally laminate forty-six-year-old",6
"How many times does ""preheat"" appear in the following text? Text: halibut slimness laboring blur funnyman rhodopsin half-a-dozen prankish collared murderously preheat hypothesized inter-individual missing normed colonize theocrat profitable update rigidity hunter-gatherer elope unwilling successfully hummingbird swag snap insurgency whippy stepbrother herd rightist unofficially nauseous moraine accomplice alley bartering squawk septuagenarian homophobia microelectronics humiliate jargon consign plucking patriarchal ossification newsreel rise renegotiation earworm smirking betrayal defy quasi darting collagen all-mountain lacrosse glaring buyback inconvenience spiral reintegrate eight-person send perturbed diarrhoea lard hit-and-miss semiotic rebel pedigree uncatchable evoke early-blooming purposiveness unmanned double-wide caesura pidgin wax fluid packed misapply flat-water ten-year-old dash off-court eeriness burb surreally landscape ball-bearing him knit taking wiseguy untroubled forswear resize full-color detour",1
