input,answer
"""붩훑홅톱핥헕""에서 ""ㄾ""는 몇 회 출현하였습니까?",5
"""글얍쿱츔""에서 ""ㄲ""는 몇 회 출현하였습니까?",0
"""곙곤뎏섁괾긩""에서 ""ㄱ""는 몇 회 출현하였습니까?",5
"""류눴윶쓘귬""에서 ""ㅠ""는 몇 회 출현하였습니까?",4
"""콜훙뼈""에서 ""ㅃ""는 몇 회 출현하였습니까?",1
"""뭥뤈닶워""에서 ""ㅝ""는 몇 회 출현하였습니까?",3
"""샤쌜핣릭쳬늼""에서 ""ㄼ""는 몇 회 출현하였습니까?",1
"""넏슫컽돞쵸뒛""에서 ""ㄷ""는 몇 회 출현하였습니까?",4
"""씫셗튻셳갃""에서 ""ㄳ""는 몇 회 출현하였습니까?",5
"""봥쫩돨홛슭봑""에서 ""ㅘ""는 몇 회 출현하였습니까?",5
"""좝놔""에서 ""ㅘ""는 몇 회 출현하였습니까?",2
"""쨩똭쥈겴""에서 ""ㄽ""는 몇 회 출현하였습니까?",1
"""큶쿽퀍큽닼""에서 ""ㅋ""는 몇 회 출현하였습니까?",5
"""옭낡벍갉뿕""에서 ""ㄺ""는 몇 회 출현하였습니까?",5
"""틋큭뜻픋쁩""에서 ""ㅡ""는 몇 회 출현하였습니까?",5
"""턻빙놑쇽을푬""에서 ""ㅛ""는 몇 회 출현하였습니까?",2
"""볘숫충""에서 ""ㅜ""는 몇 회 출현하였습니까?",2
"""뱁꾲뒌""에서 ""ㄷ""는 몇 회 출현하였습니까?",1
"""쓥뢵""에서 ""ㄵ""는 몇 회 출현하였습니까?",1
"""뎜헜흡""에서 ""ㄲ""는 몇 회 출현하였습니까?",0
"""곫셟""에서 ""ㄼ""는 몇 회 출현하였습니까?",2
"""쟫섀쐐""에서 ""ㅒ""는 몇 회 출현하였습니까?",2
"""룸맫""에서 ""ㅁ""는 몇 회 출현하였습니까?",2
"""낙꾹권졕근""에서 ""ㄱ""는 몇 회 출현하였습니까?",5
"""굸숵휙뷕겾""에서 ""ㄱ""는 몇 회 출현하였습니까?",5
"""퉛뵛잣""에서 ""ㅅ""는 몇 회 출현하였습니까?",3
"""뎨""에서 ""ㅢ""는 몇 회 출현하였습니까?",0
"""줬쭷원눵""에서 ""ㅝ""는 몇 회 출현하였습니까?",4
"""뜲""에서 ""ㅡ""는 몇 회 출현하였습니까?",1
"""폈썔딨짰쒬""에서 ""ㅆ""는 몇 회 출현하였습니까?",5
"""같긘탤턱""에서 ""ㅌ""는 몇 회 출현하였습니까?",3
"""껐쭬뀌꿨끨""에서 ""ㄲ""는 몇 회 출현하였습니까?",4
"""됼욬둅횹됻""에서 ""ㅛ""는 몇 회 출현하였습니까?",5
"""쳭뎟푀퉌엌쵤""에서 ""ㅞ""는 몇 회 출현하였습니까?",0
